id	original	status	updated_term	extraneous_text	confidence	error	GenreTerms
1	Abaca fibers (Paper) rbpap		Abaca fiber papers	(Paper), rbpap	0.95		
2	Academic catalogues. rbgenr		Academic catalogs	rbgenr	0.95		
3	Academic dissertations New York 18th century. rbgenr		Academic dissertations	New York 18th century, rbgenr	0.9		
4	Academic dissertations. rbgenr		Academic dissertations	rbgenr	1		
5	Academic dissertations. rbmscv		Academic dissertations	rbmscv	1		
6	Accordion fold format (Binding) . rbgenr		Accordion fold format	(Binding), rbgenr	0.95		
7	Accordion fold format (Binding) 2011. rbbin		Accordion fold format	(Binding) 2011, rbbin	0.9		
8	Accordion fold format (Binding) California Richmond 2013. rbgenr		Accordion fold format	(Binding) California Richmond 2013, rbgenr	0.88		
9	Accordion fold format (Binding) rbbin		Accordion fold format	(Binding), rbbin	0.95		
10	Accordion fold format (Binding) rbmscv		Accordion fold format	(Binding), rbmscv	0.95		
11	Accordion fold format rbmscv		Accordion fold format	rbmscv	0.95		
12	Accordion fold format. rbbin		Accordion fold format	rbbin	0.95		
13	Accordion fold format. rbgenr		Accordion fold format	rbgenr	0.95		
14	Accordion fold format. rbmscv		Accordion fold format	rbmscv	0.95		
15	Acrostics. rbgenr		Acrostics	rbgenr	1		
16	Acrostics. rbmscv		Acrostics	rbmscv	1		
17	Acting editions England London 20th century. rbgenr		Acting editions	England London 20th century, rbgenr	0.9		
18	Acting editions Massachusetts Boston 19th century. rbgenr		Acting editions	Massachusetts Boston 19th century, rbgenr	0.9		
19	Acting editions New York (State) New York 1976. rbgenr		Acting editions	New York (State) New York 1976, rbgenr	0.88		
20	Acting editions New York (State) New York 19th century. rbgenr		Acting editions	New York (State) New York 19th century, rbgenr	0.88		
21	Acting editions. rbgenr		Acting editions	rbgenr	1		
22	Addresses 1887. rbgenr		Addresses	1887, rbgenr	0.9		
23	Addresses 21st century. rbgenr		Addresses	21st century, rbgenr	0.9		
24	Addresses United States 1851. rbgenr		Addresses	United States 1851, rbgenr	0.9		
25	Addresses Vietnam (Democratic Republic) 20th century. rbgenr		Addresses	Vietnam (Democratic Republic) 20th century, rbgenr	0.88		
26	Addresses. rbgenr		Addresses	rbgenr	1		
27	Addresses. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00038		Addresses	rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00038	0.92		
28	Adhesive bindings (Binding) rbmscv		Adhesive bindings	(Binding), rbmscv	1		
29	Adhesive bindings. rbmscv		Adhesive bindings	rbmscv	1		
30	Advance copies (Printing) 20th century. rbpri		Advance copies	(Printing) 20th century, rbpri	0.92		
31	Advance copies (Printing) rbpri		Advance copies	(Printing), rbpri	1		
32	Advance copies (Printing) rbpri CtY-BR		Advance copies	(Printing), rbpri, CtY-BR	0.9		
33	Advance copies (Publishing) rbpub		Advance copies	(Publishing), rbpub	1		
34	Advance copies (Publishing) rbpub CU-BANC		Advance copies	(Publishing), rbpub, CU-BANC	0.9		
35	Advance copies. rbpri		Advance copies	rbpri	1		
36	Advance copy (Printing) rbpri		Advance copies	(Printing), rbpri	0.9		
37	Advertisement United States New York 19th century. rbgenr		Advertisements	United States New York 19th century, rbgenr	0.9		
38	Advertisements 20th century. rbmscv		Advertisements	20th century, rbmscv	1		
39	Advertisements Artists' materials. rbgenr		Advertisements	Artists' materials, rbgenr	0.9		
40	Advertisements Auctions. rbgenr		Advertisements	Auctions, rbgenr	1		
41	Advertisements Auctions. rbmscv		Advertisements	Auctions, rbmscv	1		
42	Advertisements Bandages and bandaging. rbmscv		Advertisements	Bandages and bandaging, rbmscv	0.9		
43	Advertisements Barbers. rbgenr		Advertisements	Barbers, rbgenr	0.9		
44	Advertisements Bookbinding. rbgenr		Advertisements	Bookbinding, rbgenr	0.9		
45	Advertisements Books New York 1974. rbgenr		Advertisements	Books New York 1974, rbgenr	0.88		
46	Advertisements Boston 19th century. rbgenr		Advertisements	Boston 19th century, rbgenr	0.88		
47	Advertisements Brass founding. rbgenr		Advertisements	Brass founding, rbgenr	0.9		
48	Advertisements Copperwork. rbgenr		Advertisements	Copperwork, rbgenr	0.9		
49	Advertisements Curiosities and wonders. rbgenr		Advertisements	Curiosities and wonders, rbgenr	0.9		
50	Advertisements Drugs. rbgenr		Advertisements	Drugs, rbgenr	0.9		
51	Advertisements Dry-goods. rbgenr		Advertisements	Dry-goods, rbgenr	0.9		
52	Advertisements England Leeds 19th century. rbmscv		Advertisements	England Leeds 19th century, rbmscv	0.88		
53	Advertisements England London 17th century. rbmscv		Advertisements	England London 17th century, rbmscv	0.88		
54	Advertisements England London 1855. rbgenr		Advertisements	England London 1855, rbgenr	0.88		
55	Advertisements England London 18th century. rbgenr		Advertisements	England London 18th century, rbgenr	0.88		
56	Advertisements England London 19th century. rbgenr		Advertisements	England London 19th century, rbgenr	0.88		
57	Advertisements England London 19th century. rbmscv		Advertisements	England London 19th century, rbmscv	0.88		
58	Advertisements England London 20th century. rbgenr		Advertisements	England London 20th century, rbgenr	0.88		
59	Advertisements England London 20th century. rbmscv		Advertisements	England London 20th century, rbmscv	0.88		
60	Advertisements Exhibitions. rbgenr		Advertisements	Exhibitions, rbgenr	1		
61	Advertisements Exhibitions. rbmscv		Advertisements	Exhibitions, rbmscv	1		
62	Advertisements Fairs. rbgenr		Advertisements	Fairs, rbgenr	1		
63	Advertisements Footwear. rbgenr		Advertisements	Footwear, rbgenr	0.9		
64	Advertisements France Paris 19th century. rbgenr		Advertisements	France Paris 19th century, rbgenr	0.88		
65	Advertisements France Paris 19th century. rbmscv		Advertisements	France Paris 19th century, rbmscv	0.88		
66	Advertisements Germany Munich 20th century. rbmscv		Advertisements	Germany Munich 20th century, rbmscv	0.88		
67	Advertisements Great Britain London 20th century. rbgenr		Advertisements	Great Britain London 20th century, rbgenr	0.88		
68	Advertisements Great Britain London 20th century. rbmscv		Advertisements	Great Britain London 20th century, rbmscv	0.88		
69	Advertisements Hardware. rbgenr		Advertisements	Hardware, rbgenr	0.9		
70	Advertisements Illinois Chicago 19th century. rbmscv		Advertisements	Illinois Chicago 19th century, rbmscv	0.88		
71	Advertisements Iron. rbgenr		Advertisements	Iron, rbgenr	0.9		
72	Advertisements Jewelry. rbgenr		Advertisements	Jewelry, rbgenr	0.9		
73	Advertisements Libraries. rbgenr		Advertisements	Libraries, rbgenr	0.9		
74	Advertisements Lotteries. rbgenr		Advertisements	Lotteries, rbgenr	0.9		
75	Advertisements Maryland Baltimore 1932. rbgenr		Advertisements	Maryland Baltimore 1932, rbgenr	0.87		
76	Advertisements Massachusetts Boston 19th century. rbgenr		Advertisements	Massachusetts Boston 19th century, rbgenr	0.88		
77	Advertisements Massachusetts Boston 19th century. rbmscv		Advertisements	Massachusetts Boston 19th century, rbmscv	0.88		
78	Advertisements Massachussets Boston 19th century. rbgenr		Advertisements	Massachussets Boston 19th century, rbgenr	0.75	typo in original (Massachussets)	
79	Advertisements New Jersey Newark 20th century. rbgenr		Advertisements	New Jersey Newark 20th century, rbgenr	0.88		
80	Advertisements New York (State) 19th century. rbmscv		Advertisements	New York (State) 19th century, rbmscv	0.88		
81	Advertisements New York (State) 20th century. rbmscv		Advertisements	New York (State) 20th century, rbmscv	0.88		
82	Advertisements New York (State) New York 19th century. rbmscv		Advertisements	New York (State) New York 19th century, rbmscv	0.88		
83	Advertisements New York 19th century. rbgenr		Advertisements	New York 19th century, rbgenr	0.88		
84	Advertisements New York New York 19th century. rbgenr		Advertisements	New York New York 19th century, rbgenr	0.88		
85	Advertisements New York New York 20th century. rbgenr		Advertisements	New York New York 20th century, rbgenr	0.88		
86	Advertisements Newspapers. rbgenr		Advertisements	Newspapers, rbgenr	1		
87	Advertisements Painting. rbgenr		Advertisements	Painting, rbgenr	0.9		
88	Advertisements Paper-making and trade. rbgenr		Advertisements	Paper-making and trade, rbgenr	0.9		
89	Advertisements Patent medicines. rbgenr		Advertisements	Patent medicines, rbgenr	0.9		
90	Advertisements Pennsylvania Philadelphia 19th century. rbgenr		Advertisements	Pennsylvania Philadelphia 19th century, rbgenr	0.88		
91	Advertisements Pennsylvania Philadelphia 19th century. rbmscv		Advertisements	Pennsylvania Philadelphia 19th century, rbmscv	0.88		
92	Advertisements Pennsylvania Philadelphia 20th century. rbgenr		Advertisements	Pennsylvania Philadelphia 20th century, rbgenr	0.88		
93	Advertisements Pennsylvania Philadelphia 20th century. rbmscv		Advertisements	Pennsylvania Philadelphia 20th century, rbmscv	0.88		
94	Advertisements Plants. rbgenr		Advertisements	Plants, rbgenr	0.9		
95	Advertisements Postal service. rbgenr		Advertisements	Postal service, rbgenr	0.9		
96	Advertisements Printing. rbgenr		Advertisements	Printing, rbgenr	0.9		
97	Advertisements Real property. rbgenr		Advertisements	Real property, rbgenr	0.9		
98	Advertisements Scotland Glasgow 20th century. rbmscv		Advertisements	Scotland Glasgow 20th century, rbmscv	0.88		
99	Advertisements Shipping. rbgenr		Advertisements	Shipping, rbgenr	0.9		
100	Advertisements Stationery. rbgenr		Advertisements	Stationery, rbgenr	0.9		
101	Advertisements Stocks. rbgenr		Advertisements	Stocks, rbgenr	0.9		
102	Advertisements Stocks. rbmscv		Advertisements	Stocks, rbmscv	0.9		
103	Advertisements Taverns (Inns) rbgenr		Advertisements	Taverns (Inns), rbgenr	0.92		
104	Advertisements United States 20th century. rbgenr		Advertisements	United States 20th century, rbgenr	0.88		
105	Advertisements United States Boston 19th century. rbgenr		Advertisements	United States Boston 19th century, rbgenr	0.88		
106	Advertisements United States Boston 19th century. rbmscv		Advertisements	United States Boston 19th century, rbmscv	0.88		
107	Advertisements United States Boston 20th century. rbmscv		Advertisements	United States Boston 20th century, rbmscv	0.88		
108	Advertisements United States New York 19th century. rbgenr		Advertisements	United States New York 19th century, rbgenr	0.88		
109	Advertisements United States New York 19th century. rbmscv		Advertisements	United States New York 19th century, rbmscv	0.88		
110	Advertisements United States New York 20th century. rbgenr		Advertisements	United States New York 20th century, rbgenr	0.88		
111	Advertisements United States Pasadena 20th century. rbgenr		Advertisements	United States Pasadena 20th century, rbgenr	0.88		
112	Advertisements United States Pasadena 20th century. rbmscv		Advertisements	United States Pasadena 20th century, rbmscv	0.88		
113	Advertisements. rbgenr		Advertisements	rbgenr	1		
114	Advertisements. rbmscv		Advertisements	rbmscv	1		
115	Advertisemnets New York (State) 20th century. rbmscv		Advertisements	New York (State) 20th century, rbmscv	0.75	typo in original (Advertisemnets)	
116	Advertisemnts United States New York 20th century. rbmscv		Advertisements	United States New York 20th century, rbmscv	0.75	typo in original (Advertisemnts)	
117	Advertisments (Publishing) rbpub		Advertisements	(Publishing), rbpub	0.75	typo in original (Advertisments)	
118	Advertisments Germany Munich 20th century. rbgenr		Advertisements	Germany Munich 20th century, rbgenr	0.75	typo in original (Advertisments)	
119	Allegories. rbgenr		Allegories	rbgenr	1		
120	Almanacs England London 17th century Manuscripts Facsimiles. rbgenr		Almanacs	England London 17th century Manuscripts Facsimiles, rbgenr	0.88		
121	Almanacs Massachusetts 1770. rbgenr		Almanacs	Massachusetts 1770, rbgenr	0.88		
122	Almanacs Massachusetts 1773. rbgenr		Almanacs	Massachusetts 1773, rbgenr	0.88		
123	Almanacs Massachusetts 1777. rbgenr		Almanacs	Massachusetts 1777, rbgenr	0.88		
124	Almanacs Massachusetts 1781. rbgenr		Almanacs	Massachusetts 1781, rbgenr	0.88		
125	Almanacs Massachusetts 1791. rbgenr		Almanacs	Massachusetts 1791, rbgenr	0.88		
126	Almanacs Massachusetts 1796. rbgenr		Almanacs	Massachusetts 1796, rbgenr	0.88		
127	Almanacs Massachusetts 19th century. rbgenr		Almanacs	Massachusetts 19th century, rbgenr	0.88		
128	Almanacs New Hampshire 1788. rbgenr		Almanacs	New Hampshire 1788, rbgenr	0.88		
129	Almanacs New York (State) 1759. rbgenr		Almanacs	New York (State) 1759, rbgenr	0.88		
130	Almanacs Pennsylvania 1687. rbgenr		Almanacs	Pennsylvania 1687, rbgenr	0.88		
131	Almanacs Pennsylvania 1793. rbgenr		Almanacs	Pennsylvania 1793, rbgenr	0.88		
132	Almanacs Pennsylvania 1795. rbgenr		Almanacs	Pennsylvania 1795, rbgenr	0.88		
133	Almanacs. rbgenr		Almanacs	rbgenr	1		
134	Alphabet books 1785. rbmscv		Alphabet books	1785, rbmscv	0.88		
135	Alphabet books 1788. rbmscv		Alphabet books	1788, rbmscv	0.88		
136	Alphabet books 1944. rbgenr		Alphabet books	1944, rbgenr	0.88		
137	Alphabet books 1972. rbgenr		Alphabet books	1972, rbgenr	0.88		
138	Alphabet books 1973. rbgenr		Alphabet books	1973, rbgenr	0.88		
139	Alphabet books 1974. rbgenr		Alphabet books	1974, rbgenr	0.88		
140	Alphabet books 1989. rbgenr		Alphabet books	1989, rbgenr	0.88		
141	Alphabet books 1990. rbgenr		Alphabet books	1990, rbgenr	0.88		
142	Alphabet books 1995. rbgenr		Alphabet books	1995, rbgenr	0.88		
143	Alphabet books 2008. rbgenr		Alphabet books	2008, rbgenr	0.88		
144	Alphabet books Massachusetts Boston 2004. rbgenr		Alphabet books	Massachusetts Boston 2004, rbgenr	0.88		
145	Alphabet books New York (State) New York 1974. rbgenr		Alphabet books	New York (State) New York 1974, rbgenr	0.88		
146	Alphabet books. rbgenr		Alphabet books	rbgenr	1		
147	Alphabet books. rbmscv		Alphabet books	rbmscv	1		
148	Alphabet rhymes 1973. rbgenr		Alphabet rhymes	1973, rbgenr	0.88		
149	Alphabet rhymes Massachusetts Boston 1987. rbgenr		Alphabet rhymes	Massachusetts Boston 1987, rbgenr	0.88		
150	Alphabets (Primers) 1787. rbgenr		Primers (Instructional books)	Alphabets (Primers) 1787, rbgenr	0.8		
151	Alphabets (Primers) 1800. rbgenr		Primers (Instructional books)	Alphabets (Primers) 1800, rbgenr	0.8		
152	Alum tawed thongs (Binding) rbbin		Thongs (Bindings)	Alum tawed thongs (Binding), rbbin	0.85		
153	Anatomical atlases rbgenr		Anatomical atlases	rbgenr	1		
154	Anatomical atlases. rbgenr		Anatomical atlases	rbgenr	1		
155	Annotations (Provenance) 17th century. rbprov MMeT		Annotations	(Provenance) 17th century, rbprov, MMeT	0.9		
156	Annotations (Provenance) 18th century. rbprov MMeT		Annotations	(Provenance) 18th century, rbprov, MMeT	0.9		
157	Annotations (Provenance) rbprov		Annotations	(Provenance), rbprov	0.95		
158	Annotations (Provenance) rbprov MMeT		Annotations	(Provenance), rbprov, MMeT	0.95		
159	Annotations (Provenance). rbprov		Annotations	(Provenance), rbprov	0.95		
160	Annotations (Provenance). rbprov MMeT		Annotations	(Provenance), rbprov, MMeT	0.95		
