action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
ADD,HOLDING,A.M.A. archives of dermatology and syphilology,NLM_14470040R,Electronic,,,0,0,0096-5979,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,A.M.A. archives of dermatology and syphilology,NLM_14470040R,Electronic,62,70,1950,1954,0096-5979,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,A.M.A. archives of dermatology,NLM_14470050R,Electronic,,,0,0,0096-5359,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,A.M.A. archives of dermatology,NLM_14470050R,Electronic,71,81,1955,1960,0096-5359,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Accounts of chemical research,NLM_0157313,Electronic,,,0,0,1520-4898,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Accounts of chemical research,NLM_0157313,Electronic,1,,1968,0,1520-4898,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta cardiologica,NLM_0370570,Electronic,,,0,0,1784-973X,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta cardiologica,NLM_0370570,Electronic,55,,2000,0,1784-973X,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta oto-laryngologica,NLM_0370354,Electronic,,,0,0,1651-2251,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta oto-laryngologica,NLM_0370354,Electronic,117,,1997,0,1651-2251,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in applied microbiology,NLM_0370413,Electronic,,,0,0,0065-2164,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in applied microbiology,NLM_0370413,Electronic,74,,2011,0,0065-2164,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in cancer research,NLM_0370416,Electronic,,,0,0,2162-5557,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in cancer research,NLM_0370416,Electronic,110,,2011,0,2162-5557,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in carbohydrate chemistry and biochemistry,NLM_0240537,Electronic,,,0,0,2162-5530,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in carbohydrate chemistry and biochemistry,NLM_0240537,Electronic,65,,2011,0,2162-5530,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in clinical chemistry,NLM_2985173R,Electronic,,,0,0,2162-9471,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in clinical chemistry,NLM_2985173R,Electronic,53,,2011,0,2162-9471,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of gastroenterology,NLM_0421030,Electronic,,,0,0,1572-0241,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of gastroenterology,NLM_0421030,Electronic,110,,2015,0,1572-0241,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of hypertension,NLM_8803676,Electronic,,,0,0,1941-7225,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of hypertension,NLM_8803676,Electronic,8,20,1995,0,1941-7225,Yes,Permanently Retained,0,Years,12,No,No,Yes,
ADD,HOLDING,American journal of medical genetics,NLM_7708900,Electronic,,,0,0,1096-8628,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of medical genetics,NLM_7708900,Electronic,1,60,1977,1995,1096-8628,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of medical genetics,NLM_7708900,Electronic,61,115,1996,2002,1096-8628,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of nephrology,NLM_8109361,Electronic,,,0,0,1421-9670,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of nephrology,NLM_8109361,Electronic,28,35,2008,2012,1421-9670,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of reproductive immunology,NLM_8912860,Electronic,,,0,0,1600-0897,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of reproductive immunology,NLM_8912860,Electronic,37,,1997,0,1600-0897,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Analytical chemistry,NLM_0370536,Electronic,,,0,0,1520-6882,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Analytical chemistry,NLM_0370536,Electronic,19,,1947,0,1520-6882,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Annales de l'Institut Pasteur. Immunologie,NLM_8701983,Electronic,,,0,0,0769-2625,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Annales de l'Institut Pasteur. Immunologie,NLM_8701983,Electronic,132,139,1981,1988,0769-2625,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Annals of medical history,NLM_15020250R,Electronic,,,0,0,0743-3131,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Annals of medical history,NLM_15020250R,Electronic,1,4,1917,1942,0743-3131,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Anthrozoös,NLM_9426443,Electronic,,,0,0,1753-0377,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Anthrozoös,NLM_9426443,Electronic,10,,1997,0,1753-0377,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Applied psychophysiology and biofeedback,NLM_9712383,Electronic,,,0,0,1573-3270,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Applied psychophysiology and biofeedback,NLM_9712383,Electronic,1,,1976,0,1573-3270,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Archives of biochemistry and biophysics,NLM_0372430,Electronic,,,0,0,1096-0384,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Archives of biochemistry and biophysics,NLM_0372430,Electronic,31,,1951,0,1096-0384,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Archives of environmental & occupational health,NLM_101282564,Electronic,,,0,0,2154-4700,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Archives of environmental & occupational health,NLM_101282564,Electronic,60,,2005,0,2154-4700,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Archives of microbiology,NLM_0410427,Electronic,,,0,0,1432-072X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Archives of microbiology,NLM_0410427,Electronic,1,,1930,0,1432-072X,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Archives of otolaryngology,NLM_0376526,Electronic,,,0,0,0003-9977,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Archives of otolaryngology,NLM_0376526,Electronic,72,111,1960,1985,0003-9977,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Archives of pathology & laboratory medicine,NLM_7607091,Electronic,,,0,0,1543-2165,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Archives of pathology & laboratory medicine,NLM_7607091,Electronic,,,2006,0,1543-2165,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Atlas of the oral and maxillofacial surgery clinics of North America,NLM_9312707,Electronic,,,0,0,1558-4275,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Atlas of the oral and maxillofacial surgery clinics of North America,NLM_9312707,Electronic,15,,2007,0,1558-4275,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Audiology,NLM_1273752,Electronic,,,0,0,0020-6091,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Audiology,NLM_1273752,Electronic,36,40,1997,2001,0020-6091,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Australian and New Zealand journal of medicine,NLM_1264322,Electronic,,,0,0,0004-8291,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Australian and New Zealand journal of medicine,NLM_1264322,Electronic,27,30,1997,2000,0004-8291,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Biochemistry,NLM_0370623,Electronic,,,0,0,1520-4995,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Biochemistry,NLM_0370623,Electronic,1,,1962,0,1520-4995,Yes,Permanently Retained,0,Years,0,No,No,Yes,
