action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
DELETE,HOLDING,3 Biotech,NLM_101565857,Electronic,,,0,0,"2190-572X (Print), 2190-5738 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,1/8/24
DELETE,RANGE,3 Biotech,NLM_101565857,Electronic,,,2011,0,"2190-572X (Print), 2190-5738 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,1/8/24
DELETE,HOLDING,A.M.A. American journal of diseases of children,NLM_14470010R,Electronic,,,0,0,"2374-2941 (Print), 2374-2968 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,RANGE,A.M.A. American journal of diseases of children,NLM_14470010R,Electronic,,,1950,1955,"2374-2941 (Print), 2374-2968 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,HOLDING,A.M.A. archives of general psychiatry,NLM_14470060R,Electronic,,,0,0,0375-8532 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,RANGE,A.M.A. archives of general psychiatry,NLM_14470060R,Electronic,,,1959,1960,0375-8532 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,HOLDING,A.M.A. archives of internal medicine,NLM_14470100R,Electronic,,,0,0,0888-2479 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,RANGE,A.M.A. archives of internal medicine,NLM_14470100R,Electronic,,,1950,1960,0888-2479 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,HOLDING,A.M.A. archives of neurology and psychiatry,NLM_14470130R,Electronic,,,0,0,0096-6886 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,RANGE,A.M.A. archives of neurology and psychiatry,NLM_14470130R,Electronic,,,1950,1959,0096-6886 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,HOLDING,A.M.A. archives of neurology,NLM_14470110R,Electronic,,,0,0,0375-8540 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,RANGE,A.M.A. archives of neurology,NLM_14470110R,Electronic,,,1959,1960,0375-8540 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,HOLDING,A.M.A. archives of ophthalmology,NLM_7706524,Electronic,,,0,0,0096-6339 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,RANGE,A.M.A. archives of ophthalmology,NLM_7706524,Electronic,,,1950,1960,0096-6339 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,HOLDING,A.M.A. archives of otolaryngology,NLM_14470140R,Electronic,,,0,0,0096-6894 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
