action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
ADD,HOLDING,American journal of medical genetics. Part A,NLM_101235741,Electronic,,,0,0,1552-4833,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of medical genetics. Part A,NLM_101235741,Electronic,,,2003,0,1552-4833,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Behavioral neuroscience,NLM_8302411,Electronic,,,0,0,1939-0084,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Behavioral neuroscience,NLM_8302411,Electronic,,,1983,0,1939-0084,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,British journal on alcohol and alcoholism,NLM_7802790,Electronic,,,0,0,0309-1635,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,British journal on alcohol and alcoholism,NLM_7802790,Electronic,,,1977,1982,0309-1635,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Cancer epidemiology biomarkers & prevention,NLM_9200608,Electronic,,,0,0,1538-7755,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Cancer epidemiology biomarkers & prevention,NLM_9200608,Electronic,,,1991,0,1538-7755,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Clinical cancer research,NLM_9502500,Electronic,,,0,0,1557-3265,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Clinical cancer research,NLM_9502500,Electronic,,,1995,0,1557-3265,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Clinical chemistry and laboratory medicine,NLM_9806306,Electronic,,,0,0,1437-4331,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Clinical chemistry and laboratory medicine,NLM_9806306,Electronic,,,1995,0,1437-4331,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Gamete research,NLM_7806559,Electronic,,,0,0,0148-7280,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Gamete research,NLM_7806559,Electronic,,,1978,1989,0148-7280,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,International journal of oral & maxillofacial implants,NLM_8611905,Electronic,,,0,0,1942-4434,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,International journal of oral & maxillofacial implants,NLM_8611905,Electronic,,,1986,0,1942-4434,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,International journal of periodontics & restorative dentistry,NLM_8200894,Electronic,,,0,0,1945-3388,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,International journal of periodontics & restorative dentistry,NLM_8200894,Electronic,,,1992,0,1945-3388,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,International journal of prosthodontics,NLM_8900938,Electronic,,,0,0,1942-4426,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,International journal of prosthodontics,NLM_8900938,Electronic,,,1995,0,1942-4426,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Journal of alcoholism,NLM_1275767,Electronic,,,0,0,0021-8685,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Journal of alcoholism,NLM_1275767,Electronic,,,1968,1974,0021-8685,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,"Journal of chromatography. B, Biomedical applications",NLM_9421796,Electronic,,,0,0,1879-1794,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,"Journal of chromatography. B, Biomedical applications",NLM_9421796,Electronic,,,1994,1997,1879-1794,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Journal of endocrinology,NLM_0375363,Electronic,,,0,0,1479-6805,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Journal of endocrinology,NLM_0375363,Electronic,,,1998,0,1479-6805,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Journal of esthetic dentistry,NLM_9010411,Electronic,,,0,0,1040-1466,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Journal of esthetic dentistry,NLM_9010411,Electronic,,,1996,1999,1040-1466,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Journal of gerontology,NLM_0374762,Electronic,,,0,0,0022-1422,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Journal of gerontology,NLM_0374762,Electronic,,,1946,1994,0022-1422,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Journal of occupational health psychology,NLM_9612485,Electronic,,,0,0,1939-1307,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Journal of occupational health psychology,NLM_9612485,Electronic,,,1996,0,1939-1307,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Molecular cancer therapeutics,NLM_101132535,Electronic,,,0,0,1538-8514,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Molecular cancer therapeutics,NLM_101132535,Electronic,,,2001,0,1538-8514,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Quintessence international,NLM_0342677,Electronic,,,0,0,1936-7163,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Quintessence international,NLM_0342677,Electronic,,,1990,0,1936-7163,Yes,Permanently Retained,0,Years,0,No,No,Yes,
