action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
,HOLDING,A Series of research publications,NLM_0002744,Print,,,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A Series of research publications,NLM_0002744,Print,9,9,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A Series of research publications,NLM_0002744,Print,14,14,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,A.M.A. archives of dermatology and syphilology,NLM_14470040R,Print,,,0,0,0096-5979 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A.M.A. archives of dermatology and syphilology,NLM_14470040R,Print,62,70,0,0,0096-5979 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,A.M.A. archives of dermatology,NLM_14470050R,Print,,,0,0,0096-5359 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A.M.A. archives of dermatology,NLM_14470050R,Print,71,81,0,0,0096-5359 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,A.M.A. archives of industrial health,NLM_14470090R,Print,,,0,0,0567-3933 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A.M.A. archives of industrial health,NLM_14470090R,Print,11,21,0,0,0567-3933 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,A.M.A. archives of industrial hygiene and occupational medicine,NLM_14470080R,Print,,,0,0,0096-6703 (Print),No,Permanently Retained,0,Years,0,No,No,No,9/20/23
,RANGE,A.M.A. archives of industrial hygiene and occupational medicine,NLM_14470080R,Print,1,10,1950,1954,0096-6703 (Print),No,Permanently Retained,0,Years,0,No,No,No,9/20/23
,HOLDING,A.M.A. archives of pathology,NLM_14470150R,Print,,,0,0,0096-6711 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/21/23
,RANGE,A.M.A. archives of pathology,NLM_14470150R,Print,50,69,1950,1959,0096-6711 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/21/23
,HOLDING,Abstracts from NIDR scientists,NLM_0257570,Print,,,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Abstracts from NIDR scientists,NLM_0257570,Print,1,44,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Abstracts of health care management studies,NLM_7900391,Print,,,0,0,0194-4908 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Abstracts of health care management studies,NLM_7900391,Print,15,23,0,0,0194-4908 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Abstracts of the ... General Meeting of the American Society for Microbiology. American Society for Microbiology. General Meeting,NLM_9208439,Print,,,0,0,1060-2011 (Electronic),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Abstracts of the ... General Meeting of the American Society for Microbiology. American Society for Microbiology. General Meeting,NLM_9208439,Print,,,1991,1999,1060-2011 (Electronic),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
