action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
ADD,HOLDING,3 Biotech,NLM_101565857,Electronic,,,0,0,2190-5738,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,3 Biotech,NLM_101565857,Electronic,1,,2011,0,2190-5738,Yes,Permanently Retained,0,Years,12,No,No,Yes,
DELETE,HOLDING,3 Biotech,NLM_101565857,Electronic,,,0,0,"2190-572X (Print), 2190-5738 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,1/8/24
DELETE,RANGE,3 Biotech,NLM_101565857,Electronic,,,2011,0,"2190-572X (Print), 2190-5738 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,1/8/24
ADD,HOLDING,A.M.A. American journal of diseases of children,NLM_14470010R,Electronic,,,0,0,2374-2968,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,A.M.A. American journal of diseases of children,NLM_14470010R,Electronic,80,90,1950,1955,2374-2968,No,Permanently Retained,0,Years,0,No,No,Yes,
DELETE,HOLDING,A.M.A. American journal of diseases of children,NLM_14470010R,Electronic,,,0,0,"2374-2941 (Print), 2374-2968 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/22/24
DELETE,RANGE,A.M.A. American journal of diseases of children,NLM_14470010R,Electronic,,,1950,1955,"2374-2941 (Print), 2374-2968 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/22/24
ADD,HOLDING,A.M.A. archives of general psychiatry,NLM_14470060R,Electronic,,,0,0,0375-8532,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,A.M.A. archives of general psychiatry,NLM_14470060R,Electronic,1,2,1959,1960,0375-8532,No,Permanently Retained,0,Years,0,No,No,Yes,
DELETE,HOLDING,A.M.A. archives of general psychiatry,NLM_14470060R,Electronic,,,0,0,0375-8532 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,RANGE,A.M.A. archives of general psychiatry,NLM_14470060R,Electronic,,,1959,1960,0375-8532 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
ADD,HOLDING,A.M.A. archives of internal medicine,NLM_14470100R,Electronic,,,0,0,0888-2479,No,Permanently Retained,0,Years,0,No,No,Yes,
