action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
ADD,HOLDING,Academic radiology,NLM_9440159,Print,,,0,0,1076-6332,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Academic radiology,NLM_9440159,Print,,,2001,2001,1076-6332,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Academic radiology,NLM_9440159,Print,,,2003,2008,1076-6332,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta psychologica,NLM_0370366,Print,,,0,0,0001-6918,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta psychologica,NLM_0370366,Print,,,1961,1991,0001-6918,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in chronic kidney disease,NLM_101209214,Print,,,0,0,1548-5595,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in chronic kidney disease,NLM_101209214,Print,,,2005,2008,1548-5595,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,AIDS research and human retroviruses,NLM_8709376,Print,,,0,0,0889-2229,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,AIDS research and human retroviruses,NLM_8709376,Print,,,1990,2009,0889-2229,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,"AJR, American journal of roentgenology",NLM_7708173,Print,,,0,0,0361-803X,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,"AJR, American journal of roentgenology",NLM_7708173,Print,,,1933,1964,0361-803X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,"AJR, American journal of roentgenology",NLM_7708173,Print,,,1990,0,0361-803X,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Alzheimer disease and associated disorders,NLM_8704771,Print,,,0,0,0893-0341,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Alzheimer disease and associated disorders,NLM_8704771,Print,,,2002,2016,0893-0341,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of clinical pathology,NLM_0370470,Print,,,0,0,0002-9173,No,Permanently Retained,0,Years,0,No,No,Yes,
