action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
ADD,HOLDING,Academic emergency medicine,NLM_9418450,Print,,,0,0,1069-6563,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Academic emergency medicine,NLM_9418450,Print,,,1999,2003,1069-6563,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Academic psychiatry,NLM_8917200,Print,,,0,0,1042-9670,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Academic psychiatry,NLM_8917200,Print,,,1989,2003,1042-9670,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Accounts of chemical research,NLM_0157313,Print,,,0,0,0001-4842,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Accounts of chemical research,NLM_0157313,Print,,,1996,2004,0001-4842,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta anaesthesiologica Scandinavica,NLM_0370270,Print,,,0,0,0001-5172,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta anaesthesiologica Scandinavica,NLM_0370270,Print,,,1999,2004,0001-5172,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta odontologica scandinavica,NLM_0370344,Print,,,0,0,0001-6357,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta odontologica scandinavica,NLM_0370344,Print,,,1939,2011,0001-6357,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta orthopaedica,NLM_101231512,Print,,,0,0,1745-3674,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta orthopaedica,NLM_101231512,Print,,,2005,2006,1745-3674,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta orthopaedica,NLM_101231512,Print,,,2007,0,1745-3674,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta oto-laryngologica,NLM_0370354,Print,,,0,0,0001-6489,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta oto-laryngologica,NLM_0370354,Print,,,1961,1992,0001-6489,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta pædiatrica,NLM_9315043,Print,,,0,0,0803-5326,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta pædiatrica,NLM_9315043,Print,,,1998,2008,0803-5326,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta radiologica,NLM_8706123,Print,,,0,0,0284-1851,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta radiologica,NLM_8706123,Print,,,1987,1999,0284-1851,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta radiologica,NLM_8706123,Print,,,2000,2006,0284-1851,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta radiologica,NLM_8706123,Print,,,2007,2010,0284-1851,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Addiction,NLM_9304118,Print,,,0,0,0965-2140,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Addiction,NLM_9304118,Print,,,1993,1996,0965-2140,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Addiction,NLM_9304118,Print,,,1997,2004,0965-2140,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in applied microbiology,NLM_0370413,Print,,,0,0,0065-2164,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in applied microbiology,NLM_0370413,Print,,,1959,1997,0065-2164,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in carbohydrate chemistry and biochemistry,NLM_0240537,Print,,,0,0,0065-2318,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in carbohydrate chemistry and biochemistry,NLM_0240537,Print,,,1969,2000,0065-2318,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in enzymology and related areas of molecular biology,NLM_0337243,Print,,,0,0,0065-258X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in enzymology and related areas of molecular biology,NLM_0337243,Print,,,1967,2000,0065-258X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Advances in enzymology and related areas of molecular biology,NLM_0337244,Print,,,0,0,0065-258X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Advances in enzymology and related areas of molecular biology,NLM_0337244,Print,,,1967,2000,0065-258X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,AIDS,NLM_8710219,Print,,,0,0,0269-9370,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,AIDS,NLM_8710219,Print,,,2000,2006,0269-9370,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,AIDS,NLM_8710219,Print,,,2007,0,0269-9370,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,"AJNR, American journal of neuroradiology",NLM_8003708,Print,,,0,0,0195-6108,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,"AJNR, American journal of neuroradiology",NLM_8003708,Print,,,1989,2004,0195-6108,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American family physician,NLM_1272646,Print,,,0,0,0002-838X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American family physician,NLM_1272646,Print,,,2008,2014,0002-838X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of bioethics,NLM_100898738,Print,,,0,0,1526-5161,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of bioethics,NLM_100898738,Print,,,2005,2006,1526-5161,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of dentistry,NLM_8806701,Print,,,0,0,0894-8275,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of dentistry,NLM_8806701,Print,,,1998,2020,0894-8275,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of dentistry,NLM_8806701,Print,,,2021,0,0894-8275,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of epidemiology,NLM_7910653,Print,,,0,0,0002-9262,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of epidemiology,NLM_7910653,Print,,,1984,2005,0002-9262,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of health-system pharmacy,NLM_9503023,Print,,,0,0,1079-2082,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of health-system pharmacy,NLM_9503023,Print,,,1995,1996,1079-2082,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of hematology,NLM_7610369,Print,,,0,0,0361-8609,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of hematology,NLM_7610369,Print,,,1997,2003,0361-8609,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of hypertension,NLM_8803676,Print,,,0,0,0895-7061,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of hypertension,NLM_8803676,Print,,,1994,1994,0895-7061,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of hypertension,NLM_8803676,Print,,,1995,2003,0895-7061,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of kidney diseases,NLM_8110075,Print,,,0,0,0272-6386,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of kidney diseases,NLM_8110075,Print,,,1981,1984,0272-6386,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of kidney diseases,NLM_8110075,Print,,,1985,1986,0272-6386,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of nephrology,NLM_8109361,Print,,,0,0,0250-8095,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of nephrology,NLM_8109361,Print,,,1992,1997,0250-8095,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of obstetrics and gynecology,NLM_0370476,Print,,,0,0,0002-9378,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of obstetrics and gynecology,NLM_0370476,Print,,,1923,1924,0002-9378,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of obstetrics and gynecology,NLM_0370476,Print,,,1927,1994,0002-9378,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of obstetrics and gynecology,NLM_0370476,Print,,,1995,2007,0002-9378,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of ophthalmology,NLM_0370500,Print,,,0,0,0002-9394,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of ophthalmology,NLM_0370500,Print,,,1918,1994,0002-9394,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of ophthalmology,NLM_0370500,Print,,,1998,2006,0002-9394,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of orthodontics and dentofacial orthopedics,NLM_8610224,Print,,,0,0,0889-5406,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of orthodontics and dentofacial orthopedics,NLM_8610224,Print,,,1986,2006,0889-5406,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of orthodontics and dentofacial orthopedics,NLM_8610224,Print,,,2008,2012,0889-5406,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of orthopsychiatry,NLM_0400640,Print,,,0,0,0002-9432,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of orthopsychiatry,NLM_0400640,Print,,,1960,2009,0002-9432,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of otolaryngology,NLM_8000029,Print,,,0,0,0196-0709,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of otolaryngology,NLM_8000029,Print,,,1995,2006,0196-0709,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of otolaryngology,NLM_8000029,Print,,,2007,2011,0196-0709,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of perinatology,NLM_8405212,Print,,,0,0,0735-1631,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of perinatology,NLM_8405212,Print,,,1997,1999,0735-1631,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,American journal of physiology,NLM_0370511,Print,,,0,0,0002-9513,Yes,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of physiology,NLM_0370511,Print,,,1997,2006,0002-9513,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,American journal of physiology,NLM_0370511,Print,,,2007,0,0002-9513,Yes,Permanently Retained,0,Years,0,No,No,Yes,
