action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
DELETE,HOLDING,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,NLM_9418450,Print,,,0,0,"1069-6563 (Print), 1553-2712 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,NLM_9418450,Print,6,10,1999,2003,"1069-6563 (Print), 1553-2712 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,NLM_8917200,Print,,,0,0,"1042-9670 (Print), 1545-7230 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,NLM_8917200,Print,13,26,1989,2002,"1042-9670 (Print), 1545-7230 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Accounts of chemical research,NLM_0157313,Print,,,0,0,"0001-4842 (Print), 1520-4898 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Accounts of chemical research,NLM_0157313,Print,1,,0,0,"0001-4842 (Print), 1520-4898 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Acta anaesthesiologica Scandinavica,NLM_0370270,Print,,,0,0,"0001-5172 (Print), 1399-6576 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,9/9/22
DELETE,RANGE,Acta anaesthesiologica Scandinavica,NLM_0370270,Print,43,48,1999,2004,"0001-5172 (Print), 1399-6576 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,9/9/22
DELETE,HOLDING,Acta odontologica Scandinavica,NLM_0370344,Print,,,0,0,"0001-6357 (Print), 1502-3850 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Acta odontologica Scandinavica,NLM_0370344,Print,1,69,1939,2011,"0001-6357 (Print), 1502-3850 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Acta orthopaedica,NLM_101231512,Print,,,0,0,"1745-3674 (Print), 1745-3682 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/10/23
