action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
ADD,HOLDING,Acta obstetricia et gynecologica Scandinavica,NLM_0370343,Print,,,0,0,0001-6349,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta obstetricia et gynecologica Scandinavica,NLM_0370343,Print,,,1997,2004,0001-6349,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta pædiatrica,NLM_9205968,Print,,,0,0,0803-5253,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta pædiatrica,NLM_9205968,Print,,,1997,2010,0803-5253,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Acta psychiatrica Scandinavica,NLM_0370364,Print,,,0,0,0001-690X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Acta psychiatrica Scandinavica,NLM_0370364,Print,,,1997,2003,0001-690X,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Alcohol and alcoholism,NLM_8310684,Print,,,0,0,0735-0414,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Alcohol and alcoholism,NLM_8310684,Print,,,1996,2000,0735-0414,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Atherosclerosis,NLM_0242543,Print,,,0,0,0021-9150,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Atherosclerosis,NLM_0242543,Print,,,1995,2003,0021-9150,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Biochemistry,NLM_0376536,Print,,,0,0,0006-2979,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Biochemistry,NLM_0376536,Print,,,2000,2004,0006-2979,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,BioEssays,NLM_8510851,Print,,,0,0,0265-9247,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,BioEssays,NLM_8510851,Print,,,1998,2003,0265-9247,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,Bone,NLM_8504048,Print,,,0,0,8756-3282,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,Bone,NLM_8504048,Print,,,1995,2003,8756-3282,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,HOLDING,British journal of dermatology,NLM_0004041,Print,,,0,0,0007-0963,No,Permanently Retained,0,Years,0,No,No,Yes,
ADD,RANGE,British journal of dermatology,NLM_0004041,Print,,,1997,2004,0007-0963,No,Permanently Retained,0,Years,0,No,No,Yes,
