action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
,HOLDING,3 Biotech,NLM_101565857,Electronic,,,0,0,"2190-572X (Print), 2190-5738 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,1/8/24
,RANGE,3 Biotech,NLM_101565857,Electronic,,,2011,0,"2190-572X (Print), 2190-5738 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,1/8/24
,HOLDING,A Series of research publications,NLM_0002744,Print,,,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A Series of research publications,NLM_0002744,Print,9,9,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A Series of research publications,NLM_0002744,Print,14,14,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,A.M.A. American journal of diseases of children,NLM_14470010R,Electronic,,,0,0,"2374-2941 (Print), 2374-2968 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,RANGE,A.M.A. American journal of diseases of children,NLM_14470010R,Electronic,,,1950,1955,"2374-2941 (Print), 2374-2968 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,HOLDING,A.M.A. archives of dermatology and syphilology,NLM_14470040R,Print,,,0,0,0096-5979 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A.M.A. archives of dermatology and syphilology,NLM_14470040R,Print,62,70,0,0,0096-5979 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,A.M.A. archives of dermatology,NLM_14470050R,Print,,,0,0,0096-5359 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A.M.A. archives of dermatology,NLM_14470050R,Print,71,81,0,0,0096-5359 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,A.M.A. archives of general psychiatry,NLM_14470060R,Electronic,,,0,0,0375-8532 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,RANGE,A.M.A. archives of general psychiatry,NLM_14470060R,Electronic,,,1959,1960,0375-8532 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,HOLDING,A.M.A. archives of industrial health,NLM_14470090R,Print,,,0,0,0567-3933 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,A.M.A. archives of industrial health,NLM_14470090R,Print,11,21,0,0,0567-3933 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,A.M.A. archives of industrial hygiene and occupational medicine,NLM_14470080R,Print,,,0,0,0096-6703 (Print),No,Permanently Retained,0,Years,0,No,No,No,9/20/23
,RANGE,A.M.A. archives of industrial hygiene and occupational medicine,NLM_14470080R,Print,1,10,1950,1954,0096-6703 (Print),No,Permanently Retained,0,Years,0,No,No,No,9/20/23
,HOLDING,A.M.A. archives of internal medicine,NLM_14470100R,Electronic,,,0,0,0888-2479 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,RANGE,A.M.A. archives of internal medicine,NLM_14470100R,Electronic,,,1950,1960,0888-2479 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,HOLDING,A.M.A. archives of neurology and psychiatry,NLM_14470130R,Electronic,,,0,0,0096-6886 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,RANGE,A.M.A. archives of neurology and psychiatry,NLM_14470130R,Electronic,,,1950,1959,0096-6886 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,HOLDING,A.M.A. archives of neurology,NLM_14470110R,Electronic,,,0,0,0375-8540 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,RANGE,A.M.A. archives of neurology,NLM_14470110R,Electronic,,,1959,1960,0375-8540 (Print),No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,HOLDING,A.M.A. archives of ophthalmology,NLM_7706524,Electronic,,,0,0,0096-6339 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,RANGE,A.M.A. archives of ophthalmology,NLM_7706524,Electronic,,,1950,1960,0096-6339 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,HOLDING,A.M.A. archives of otolaryngology,NLM_14470140R,Electronic,,,0,0,0096-6894 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,RANGE,A.M.A. archives of otolaryngology,NLM_14470140R,Electronic,,,1950,1960,0096-6894 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,HOLDING,A.M.A. archives of pathology,NLM_14470150R,Print,,,0,0,0096-6711 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/21/23
,RANGE,A.M.A. archives of pathology,NLM_14470150R,Print,50,69,1950,1959,0096-6711 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/21/23
,HOLDING,A.M.A. archives of surgery,NLM_14470160R,Electronic,,,0,0,0096-6908 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,RANGE,A.M.A. archives of surgery,NLM_14470160R,Electronic,,,1950,1960,0096-6908 (Print),No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,HOLDING,A.M.A. journal of diseases of children,NLM_14470020R,Electronic,,,0,0,"0096-6916 (Print), 2374-300X (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,RANGE,A.M.A. journal of diseases of children,NLM_14470020R,Electronic,,,1956,1960,"0096-6916 (Print), 2374-300X (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/22/24
,HOLDING,AACN clinical issues,NLM_9508191,Electronic,,,0,0,"1079-0713 (Print), 1538-9812 (Electronic)",No,Permanently Retained,0,Years,0,No,No,Yes,7/17/24
,RANGE,AACN clinical issues,NLM_9508191,Electronic,,,1993,2006,"1079-0713 (Print), 1538-9812 (Electronic)",No,Permanently Retained,0,Years,0,No,No,Yes,7/17/24
,HOLDING,AAOHN journal : official journal of the American Association of Occupational Health Nurses,NLM_8608669,Electronic,,,0,0,"0891-0162 (Print), 1938-2448 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,RANGE,AAOHN journal : official journal of the American Association of Occupational Health Nurses,NLM_8608669,Electronic,,,1986,1998,"0891-0162 (Print), 1938-2448 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,RANGE,AAOHN journal : official journal of the American Association of Occupational Health Nurses,NLM_8608669,Electronic,,,2000,2009,"0891-0162 (Print), 1938-2448 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,7/17/24
,HOLDING,Abstracts from NIDR scientists,NLM_0257570,Print,,,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Abstracts from NIDR scientists,NLM_0257570,Print,1,44,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Abstracts of health care management studies,NLM_7900391,Print,,,0,0,0194-4908 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Abstracts of health care management studies,NLM_7900391,Print,15,23,0,0,0194-4908 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Abstracts of the ... General Meeting of the American Society for Microbiology. American Society for Microbiology. General Meeting,NLM_9208439,Print,,,0,0,1060-2011 (Electronic),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
