655 - Local Param 04,BIB 008 MARC,MMS Id,Lifecycle,Lifecycle2
 Abaca fibers (Paper) rbpap,180906s2017####gw#a##########000#0#ger#d,991017696045103851,In Repository,Active
 Academic catalogues. rbgenr,071027s2008####enkah####bc###001#0#eng#d,991001548869703851,In Repository,Active
 Academic dissertations New York 18th century. rbgenr,831220s1797####nyu#####b#####000#0#eng#d,991006821579703851,In Repository,Deleted
 Academic dissertations. rbgenr,810407s1799####nhu#####b#####000#0#eng#d,991006825449703851,In Repository,Deleted
 Academic dissertations. rbgenr,811117s1794####pau#####b#####000#0#eng#d,991006231309703851,In Repository,Deleted
 Academic dissertations. rbgenr,820122s1794####nyu#####b#####000#0#eng#d,991006818129703851,In Repository,Deleted
 Academic dissertations. rbgenr,820615s1796####nyu#####b#####000#0#eng#d,991006818409703851,In Repository,Deleted
 Academic dissertations. rbgenr,820709s1793####pau#####b#####000#0#eng#d,991006812399703851,In Repository,Deleted
 Academic dissertations. rbgenr,830406s1792####pau#####b#####000#0#lat#d,991006158929703851,In Repository,Deleted
 Academic dissertations. rbgenr,830610s1800####pau#####b#####000#0#eng#d,991006581419703851,In Repository,Deleted
 Academic dissertations. rbgenr,830705s1792####nyu#####b#####000#0#eng#d,991006037739703851,In Repository,Deleted
 Academic dissertations. rbgenr,830816s1793####nyu#####b#####000#0#eng#d,991006814269703851,In Repository,Deleted
 Academic dissertations. rbgenr,840130s1795####nyu#####b#####000#0#eng#d,991006818329703851,In Repository,Deleted
 Academic dissertations. rbgenr,810320s1794####nyu#####b#####000#0#eng#d,991006818009703851,In Repository,Deleted
 Academic dissertations. rbgenr,810427s1800####pau#####b#####000#0#eng#d,991006825659703851,In Repository,Deleted
 Academic dissertations. rbgenr,811130s1794####pau#####b#####000#0#eng#d,991006492859703851,In Repository,Deleted
 Academic dissertations. rbgenr,820218s1800####pau#####b#####000#0#eng#d,991006490419703851,In Repository,Deleted
 Academic dissertations. rbgenr,820326s1789####mau#####b#####000#0#eng#d,991006141159703851,In Repository,Deleted
 Academic dissertations. rbgenr,820524s1797####pau#####b#####000#0#eng#d,991006528379703851,In Repository,Deleted
 Academic dissertations. rbgenr,820524s1799####pau#####b#####000#0#eng#d,991006825579703851,In Repository,Deleted
 Academic dissertations. rbgenr,820525s1797####pau#####b#####000#0#eng#d,991006823379703851,In Repository,Deleted
 Academic dissertations. rbgenr,820709s1795####nyu#####b#####000#0#eng#d,991006818279703851,In Repository,Deleted
 Academic dissertations. rbgenr,820825s1796####pau#####b#####000#0#eng#d,991006818509703851,In Repository,Deleted
 Academic dissertations. rbgenr,820901s1798####pau#####b#####000#0#eng#d,991006490689703851,In Repository,Deleted
 Academic dissertations. rbgenr,820930s1799####pau#####b#####000#0#eng#d,991006825619703851,In Repository,Deleted
 Academic dissertations. rbgenr,821025s1791####pau#####b#####000#0#eng#d,991007178749703851,In Repository,Deleted
 Academic dissertations. rbgenr,830617s1798####pau#####b#####000#0#eng#d,991006490149703851,In Repository,Deleted
 Academic dissertations. rbgenr,830830s1797####pau#####b#####000#0#eng#d,991006907969703851,In Repository,Deleted
 Academic dissertations. rbgenr,811130s1791####pau#####b#####000#0#eng#d,991006812189703851,In Repository,Deleted
 Academic dissertations. rbgenr,820114s1800####pau#####b#####000#0#eng#d,991006821949703851,In Repository,Deleted
