655 - Local Param 04,id,original,status,updated_term,extraneous_text,confidence,error
Abaca fibers (Paper) rbpap,1,Abaca fibers (Paper) rbpap,,Abaca fiber papers,"(Paper), rbpap",0.95,
Academic catalogues. rbgenr,2,Academic catalogues. rbgenr,,Academic catalogs,rbgenr,0.95,
Academic dissertations New York 18th century. rbgenr,3,Academic dissertations New York 18th century. rbgenr,,Academic dissertations,"New York 18th century, rbgenr",0.9,
Academic dissertations. rbgenr,4,Academic dissertations. rbgenr,,Academic dissertations,rbgenr,1.0,
Academic dissertations. rbmscv,5,Academic dissertations. rbmscv,,Academic dissertations,rbmscv,1.0,
Accordion fold format (Binding) . rbgenr,6,Accordion fold format (Binding) . rbgenr,,Accordion fold format,"(Binding), rbgenr",0.95,
Accordion fold format (Binding) 2011. rbbin,7,Accordion fold format (Binding) 2011. rbbin,,Accordion fold format,"(Binding) 2011, rbbin",0.9,
Accordion fold format (Binding) California Richmond 2013. rbgenr,8,Accordion fold format (Binding) California Richmond 2013. rbgenr,,Accordion fold format,"(Binding) California Richmond 2013, rbgenr",0.88,
Accordion fold format (Binding) rbbin,9,Accordion fold format (Binding) rbbin,,Accordion fold format,"(Binding), rbbin",0.95,
Accordion fold format (Binding) rbmscv,10,Accordion fold format (Binding) rbmscv,,Accordion fold format,"(Binding), rbmscv",0.95,
Accordion fold format rbmscv,11,Accordion fold format rbmscv,,Accordion fold format,rbmscv,0.95,
Accordion fold format. rbbin,12,Accordion fold format. rbbin,,Accordion fold format,rbbin,0.95,
Accordion fold format. rbgenr,13,Accordion fold format. rbgenr,,Accordion fold format,rbgenr,0.95,
Accordion fold format. rbmscv,14,Accordion fold format. rbmscv,,Accordion fold format,rbmscv,0.95,
Acrostics. rbgenr,15,Acrostics. rbgenr,,Acrostics,rbgenr,1.0,
Acrostics. rbmscv,16,Acrostics. rbmscv,,Acrostics,rbmscv,1.0,
Acting editions England London 20th century. rbgenr,17,Acting editions England London 20th century. rbgenr,,Acting editions,"England London 20th century, rbgenr",0.9,
Acting editions Massachusetts Boston 19th century. rbgenr,18,Acting editions Massachusetts Boston 19th century. rbgenr,,Acting editions,"Massachusetts Boston 19th century, rbgenr",0.9,
Acting editions New York (State) New York 1976. rbgenr,19,Acting editions New York (State) New York 1976. rbgenr,,Acting editions,"New York (State) New York 1976, rbgenr",0.88,
Acting editions New York (State) New York 19th century. rbgenr,20,Acting editions New York (State) New York 19th century. rbgenr,,Acting editions,"New York (State) New York 19th century, rbgenr",0.88,
Acting editions. rbgenr,21,Acting editions. rbgenr,,Acting editions,rbgenr,1.0,
Addresses 1887. rbgenr,22,Addresses 1887. rbgenr,,Addresses,"1887, rbgenr",0.9,
Addresses 21st century. rbgenr,23,Addresses 21st century. rbgenr,,Addresses,"21st century, rbgenr",0.9,
Addresses United States 1851. rbgenr,24,Addresses United States 1851. rbgenr,,Addresses,"United States 1851, rbgenr",0.9,
Addresses Vietnam (Democratic Republic) 20th century. rbgenr,25,Addresses Vietnam (Democratic Republic) 20th century. rbgenr,,Addresses,"Vietnam (Democratic Republic) 20th century, rbgenr",0.88,
Addresses. rbgenr,26,Addresses. rbgenr,,Addresses,rbgenr,1.0,
Addresses. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00038,27,Addresses. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00038,,Addresses,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00038",0.92,
Adhesive bindings (Binding) rbmscv,28,Adhesive bindings (Binding) rbmscv,,Adhesive bindings,"(Binding), rbmscv",1.0,
Adhesive bindings. rbmscv,29,Adhesive bindings. rbmscv,,Adhesive bindings,rbmscv,1.0,
Advance copies (Printing) 20th century. rbpri,30,Advance copies (Printing) 20th century. rbpri,,Advance copies,"(Printing) 20th century, rbpri",0.92,
Advance copies (Printing) rbpri,31,Advance copies (Printing) rbpri,,Advance copies,"(Printing), rbpri",1.0,
Advance copies (Printing) rbpri CtY-BR,32,Advance copies (Printing) rbpri CtY-BR,,Advance copies,"(Printing), rbpri, CtY-BR",0.9,
Advance copies (Publishing) rbpub,33,Advance copies (Publishing) rbpub,,Advance copies,"(Publishing), rbpub",1.0,
Advance copies (Publishing) rbpub CU-BANC,34,Advance copies (Publishing) rbpub CU-BANC,,Advance copies,"(Publishing), rbpub, CU-BANC",0.9,
Advance copies. rbpri,35,Advance copies. rbpri,,Advance copies,rbpri,1.0,
Advance copy (Printing) rbpri,36,Advance copy (Printing) rbpri,,Advance copies,"(Printing), rbpri",0.9,
Advertisement United States New York 19th century. rbgenr,37,Advertisement United States New York 19th century. rbgenr,,Advertisements,"United States New York 19th century, rbgenr",0.9,
Advertisements 20th century. rbmscv,38,Advertisements 20th century. rbmscv,,Advertisements,"20th century, rbmscv",1.0,
Advertisements Artists' materials. rbgenr,39,Advertisements Artists' materials. rbgenr,,Advertisements,"Artists' materials, rbgenr",0.9,
Advertisements Auctions. rbgenr,40,Advertisements Auctions. rbgenr,,Advertisements,"Auctions, rbgenr",1.0,
Advertisements Auctions. rbmscv,41,Advertisements Auctions. rbmscv,,Advertisements,"Auctions, rbmscv",1.0,
Advertisements Bandages and bandaging. rbmscv,42,Advertisements Bandages and bandaging. rbmscv,,Advertisements,"Bandages and bandaging, rbmscv",0.9,
Advertisements Barbers. rbgenr,43,Advertisements Barbers. rbgenr,,Advertisements,"Barbers, rbgenr",0.9,
Advertisements Bookbinding. rbgenr,44,Advertisements Bookbinding. rbgenr,,Advertisements,"Bookbinding, rbgenr",0.9,
Advertisements Books New York 1974. rbgenr,45,Advertisements Books New York 1974. rbgenr,,Advertisements,"Books New York 1974, rbgenr",0.88,
Advertisements Boston 19th century. rbgenr,46,Advertisements Boston 19th century. rbgenr,,Advertisements,"Boston 19th century, rbgenr",0.88,
Advertisements Brass founding. rbgenr,47,Advertisements Brass founding. rbgenr,,Advertisements,"Brass founding, rbgenr",0.9,
Advertisements Copperwork. rbgenr,48,Advertisements Copperwork. rbgenr,,Advertisements,"Copperwork, rbgenr",0.9,
Advertisements Curiosities and wonders. rbgenr,49,Advertisements Curiosities and wonders. rbgenr,,Advertisements,"Curiosities and wonders, rbgenr",0.9,
Advertisements Drugs. rbgenr,50,Advertisements Drugs. rbgenr,,Advertisements,"Drugs, rbgenr",0.9,
Advertisements Dry-goods. rbgenr,51,Advertisements Dry-goods. rbgenr,,Advertisements,"Dry-goods, rbgenr",0.9,
Advertisements England Leeds 19th century. rbmscv,52,Advertisements England Leeds 19th century. rbmscv,,Advertisements,"England Leeds 19th century, rbmscv",0.88,
Advertisements England London 17th century. rbmscv,53,Advertisements England London 17th century. rbmscv,,Advertisements,"England London 17th century, rbmscv",0.88,
Advertisements England London 1855. rbgenr,54,Advertisements England London 1855. rbgenr,,Advertisements,"England London 1855, rbgenr",0.88,
Advertisements England London 18th century. rbgenr,55,Advertisements England London 18th century. rbgenr,,Advertisements,"England London 18th century, rbgenr",0.88,
