id,655 - Local Param 04,status,updated_term,extraneous_text,confidence,error
1,"Anthologies United States Civil War, 1861-1865. rbgenr",matched,Anthologies,"United States Civil War, 1861-1865; rbgenr",0.95,
2,Artists? books. rbmscv,matched,Artists' books,"punctuation variant (Artists?), rbmscv",0.9,
3,"Black letter types (Type evidence) United States Washington, D.C. 1932. rbtyp",matched,Black letter types,"(Type evidence) United States Washington, D.C. 1932; rbtyp",1,
4,"Errata lists, Integral (Printing) Italy 16th century. rbpri",matched,Integral errata lists,(Printing) Italy 16th century; rbpri,1,
5,Hahnemu?hler (paper). rbpap,no_match,,Hahnemu?hler (paper); rbpap (corrupted/variant encoding),0,encoding/variant ??? no exact RBMS term
6,"Maps Northwest, Pacific. rbgenr",matched,Maps,"Northwest, Pacific; rbgenr",1,
7,"Maps Northwest, Pacific. rbmscv",matched,Maps,"Northwest, Pacific; rbmscv",1,
8,"Mystery and detective fiction California, Northern. rbgenr",matched,Mystery and detective fiction,"California, Northern; rbgenr",1,
9,"Mystery and detective fiction California, Southern. rbgenr",matched,Mystery and detective fiction,"California, Southern; rbgenr",1,
10,Paper evidence (Paper) Hahnam??hle Ingres. rbpap,no_match,,Hahnam??hle Ingres (corrupted diacritic); rbpap,0,encoding/variant ??? no exact RBMS term
11,Paper evidence (Paper) Hahnemu?hle Ingres. rbpap,no_match,,Hahnemu?hle Ingres; rbpap (variant/encoding),0,encoding/variant ??? no exact RBMS term
12,Paper evidence (Paper) Moulin du Gue?. rbpap,matched,Papier-m??ch??,"Moulin du Gue (corrupted diacritic), rbpap",0.6,best-effort mapping to 'Papier-m??ch??'
13,"Printers' devices (Printing) Rogers, Bruce. rbpri",matched,Printers' devices,"Rogers, Bruce; (Printing) rbpri",1,
14,Printers? devices (Printing) rbpri,matched,Printers' devices,"punctuation variant (Printers?), (Printing) rbpri",0.9,
15,Publishers' advertisements Germany Mu?nchen 1981. rbgenr,matched,Publishers' advertisements,Germany Mu?nchen 1981; rbgenr,0.85,encoding variant (Mu?nchen)
16,"Publishers' advertisements Longmans, Green and Co. England London 1885. rbgenr",matched,Publishers' advertisements,"Longmans, Green and Co.; England London 1885; rbgenr",1,
17,Publishers' cloth bindings (Binding) Germany G??ttingen 21st century. rbbin StSaUL,matched,Publishers' cloth bindings,"(Binding) Germany G??ttingen 21st century; rbbin, StSaUL",0.9,
18,"Signatures (binding notations), rbpri",matched,Signatures (Binder's notations),rbpri,0.9,
19,"Typefaces (Type evidence), Chaucer. rbtyp",matched,Type specimens,(Type evidence) Chaucer; rbtyp,0.6,best-effort mapping to 'Type specimens' (vocabulary has many type evidence items)
20,"Vellum (Paper), Barcham Green Vellum. rbpap",matched,Vellum (Paper),Barcham Green Vellum; rbpap,1,
21,dissertations. rbgenr,matched,Academic dissertations,rbgenr,1,
22,fold format (Binding) 2007. rbbin,matched,Accordion fold format,(Binding) 2007; rbbin,0.8,mapped to 'Accordion fold format' (best match)
23,fold format (Binding) 2009. rbbin,matched,Accordion fold format,(Binding) 2009; rbbin,0.8,
24,fold format (Binding) 2010. rbbin,matched,Accordion fold format,(Binding) 2010; rbbin,0.8,
25,fold format (Binding) California 21st century. rbbin,matched,Accordion fold format,(Binding) California 21st century; rbbin,0.8,
26,fold format (Binding) Iowa Iowa City 2013. rbbin,matched,Accordion fold format,(Binding) Iowa Iowa City 2013; rbbin,0.8,
27,fold format (Binding) rbbin,matched,Accordion fold format,(Binding); rbbin,0.9,
28,format (Binding) rbbin,no_match,,format (Binding); rbbin,0,no direct RBMS vocabulary item for 'format (Binding)'
29,rbgenr,no_match,,rbgenr (qualifier only),0,qualifier only ??? no term
30,editions England London 18th century. rbgenr,matched,Editions,England London 18th century; rbgenr,0.95,
31,editions New York (State) New York 19th century rbgenr,matched,Editions,New York (State) New York 19th century; rbgenr,0.95,
32,editions New York (State) New York 19th century. rbgenr,matched,Editions,New York (State) New York 19th century; rbgenr,0.95,
33,editions. rbgenr,matched,Editions,rbgenr,1,
34,1860. rbgenr,no_match,,1860; rbgenr,0,date-only line ??? no RBMS term
35,rbgenr,no_match,,rbgenr (qualifier only),0,
36,regulations. rbgenr,matched,Regulations,rbgenr,1,
37,copies (Printing) 21st century. rbpri CU-BANC,matched,Copies (Printing),"21st century; rbpri, CU-BANC",0.95,
38,copies (Printing) rbpri,matched,Copies (Printing),rbpri,1,
39,copies (Printing) rbpri CtY-BR,matched,Copies (Printing),"rbpri, CtY-BR",0.9,
40,copies (Publishing) rbpub,matched,Copies (Publishing),rbpub,1,
41,- Germany - Munich - 20th century. rbgenr,no_match,,Germany Munich 20th century; rbgenr,0,fragment ??? no term
42,20th century. rbgenr,no_match,,20th century; rbgenr,0,date-only qualifier ??? no term
43,Bandages and bandaging. rbgenr,matched,Bandages and bandaging,rbgenr,1,
44,Boston 19th century. rbgenr,no_match,,Boston 19th century; rbgenr,0,place/date only ??? no term
45,Dentistry. rbgenr,matched,Dentistry,rbgenr,1,
46,England Cambridge 20th century. rbgenr,no_match,,England Cambridge 20th century; rbgenr,0,
47,England Leeds 19th century. rbgenr,no_match,,England Leeds 19th century; rbgenr,0,
48,England London 18th century. rbgenr,no_match,,England London 18th century; rbgenr,0,
49,England London 19th century. rbgenr,no_match,,England London 19th century; rbgenr,0,
50,England London 19th century. rbgenr PU,no_match,,"England London 19th century; rbgenr, PU",0,
51,England London 20th century. rbgenr,no_match,,England London 20th century; rbgenr,0,
52,Exhibitions. rbgenr,matched,Exhibition catalogs,rbgenr,0.75,broad mapping to exhibition-related term
53,France Paris 19th century. rbgenr,no_match,,France Paris 19th century; rbgenr,0,
54,Germany Hamburg 20th century. rbgenr,no_match,,Germany Hamburg 20th century; rbgenr,0,
55,Germany Munich 20th century. rbgenr,no_match,,Germany Munich 20th century; rbgenr,0,
56,Great Britain London 20th century. rbgenr,no_match,,Great Britain London 20th century; rbgenr,0,
57,Illinois Chicago 19th century. rbgenr,no_match,,Illinois Chicago 19th century; rbgenr,0,
58,Ink. rbgenr,matched,Ink,rbgenr,0.85,
59,Lotteries. rbgenr,matched,Lotteries,rbgenr,1,
60,Massachusetts Boston 20th century. rbgenr,no_match,,Massachusetts Boston 20th century; rbgenr,0,
61,New Jersey Newark 20th century. rbgenr,no_match,,New Jersey Newark 20th century; rbgenr,0,
62,New York (State) New York 1993. rbgenr,no_match,,New York (State) New York 1993; rbgenr,0,
63,New York (State) New York 1997. rbgenr,no_match,,New York (State) New York 1997; rbgenr,0,
