original,status,updated_term,extraneous_text,confidence,error
Academic dissertations New York 18th century. rbgenr,PROPOSED,Academic dissertations,New York 18th century. rbgenr,0.0,
Academic catalogues. rbgenr,PROPOSED,Academic catalogs,. rbgenr,1.0,
Accordion fold format (Binding) 2011. rbbin,PROPOSED,Accordion fold format,(Binding) 2011. rbbin,1.0,
Accordion fold format (Binding) . rbgenr,PROPOSED,Accordion fold format,(Binding) . rbgenr,0.0,
Accordion fold format (Binding) California Richmond 2013. rbgenr,PROPOSED,Accordion fold format,(Binding) California Richmond 2013. rbgenr,0.0,
Academic dissertations. rbmscv,REVIEW,,"<everything not part of the RBMS term, or empty>",0.0,"updated_term not in candidate shortlist: <one of the candidate terms above, or empty>"
Academic dissertations. rbgenr,PROPOSED,Academic dissertations,. rbgenr,1.0,
Abaca fibers (Paper) rbpap,REVIEW,,Abaca fibers (Paper) rbpap,0.0,
Accordion fold format (Binding) rbbin,PROPOSED,Accordion fold format,(Binding) rbbin,0.0,
Accordion fold format (Binding) rbmscv,PROPOSED,Accordion fold format,(Binding) rbmscv,0.0,
Accordion fold format rbmscv,PROPOSED,Accordion fold format,rbmscv,0.0,
Accordion fold format. rbbin,PROPOSED,Accordion fold format,rbbin,1.0,
Accordion fold format. rbgenr,PROPOSED,Accordion fold format,rbgenr,0.0,
Accordion fold format. rbmscv,PROPOSED,Accordion fold format,. rbmscv,0.0,
Acrostics. rbgenr,PROPOSED,Acrostics,. rbgenr,0.0,
Acrostics. rbmscv,PROPOSED,Acrostics,. rbmscv,0.0,
Acting editions England London 20th century. rbgenr,PROPOSED,Acting editions,England London 20th century. rbgenr,0.0,
Acting editions Massachusetts Boston 19th century. rbgenr,PROPOSED,Acting editions,Massachusetts Boston 19th century. rbgenr,0.0,
Acting editions New York (State) New York 1976. rbgenr,PROPOSED,Acting editions,New York (State) New York 1976. rbgenr,0.0,
Acting editions New York (State) New York 19th century. rbgenr,PROPOSED,Acting editions,New York (State) New York 19th century. rbgenr,0.0,
Acting editions. rbgenr,PROPOSED,Acting editions,. rbgenr,1.0,
Addresses 1887. rbgenr,PROPOSED,Addresses,1887. rbgenr,0.0,
Addresses. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00038,PROPOSED,Addresses,. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00038,0.0,
Addresses 21st century. rbgenr,PROPOSED,Addresses,21st century. rbgenr,0.0,
Addresses United States 1851. rbgenr,PROPOSED,Addresses,United States 1851. rbgenr,0.0,
Addresses Vietnam (Democratic Republic) 20th century. rbgenr,PROPOSED,Addresses,Vietnam (Democratic Republic) 20th century. rbgenr,0.0,
Adhesive bindings. rbmscv,PROPOSED,Adhesive bindings,. rbmscv,0.0,
Adhesive bindings (Binding) rbmscv,PROPOSED,Adhesive bindings,(Binding) rbmscv,0.0,
Addresses. rbgenr,PROPOSED,Addresses,rbgenr,1.0,
Advance copies (Printing) 20th century. rbpri,PROPOSED,Advance copies,(Printing) 20th century. rbpri,0.0,
Advance copies (Printing) rbpri,PROPOSED,Advance copies,(Printing) rbpri,0.0,
Advance copies (Printing) rbpri CtY-BR,PROPOSED,Advance copies,(Printing) rbpri CtY-BR,0.0,
Advance copies (Publishing) rbpub,PROPOSED,Advance copies,(Publishing) rbpub,0.0,
Advance copies (Publishing) rbpub CU-BANC,PROPOSED,Advance copies,(Publishing) rbpub CU-BANC,0.0,
Advance copies. rbpri,PROPOSED,Advance copies,rbpri,0.0,
Advance copy (Printing) rbpri,PROPOSED,Advance copies,(Printing) rbpri,0.0,
Advertisement United States New York 19th century. rbgenr,REVIEW,,Advertisement United States New York 19th century. rbgenr,0.0,
Advertisements 20th century. rbmscv,PROPOSED,Advertisements,20th century. rbmscv,1.0,
Advertisements Artists' materials. rbgenr,PROPOSED,Advertisements,Artists' materials. rbgenr,0.9,
Advertisements Auctions. rbgenr,PROPOSED,Advertisements,Auctions. rbgenr,0.7,
Advertisements Auctions. rbmscv,PROPOSED,Advertisements,Auctions. rbmscv,1.0,
Advertisements Bandages and bandaging. rbmscv,PROPOSED,Advertisements,Bandages and bandaging. rbmscv,0.0,
Advertisements Barbers. rbgenr,PROPOSED,Advertisements,Barbers. rbgenr,1.0,
Advertisements Bookbinding. rbgenr,PROPOSED,Advertisements,Bookbinding. rbgenr,1.0,
Advertisements Books New York 1974. rbgenr,PROPOSED,Advertisements,Books New York 1974. rbgenr,1.0,
