original,status,updated_term,extraneous_text,confidence,error
Abaca fibers (Paper) rbpap,PROPOSED,Abaca fiber papers,rbpap,0.8947368421052632,
Academic catalogues. rbgenr,PROPOSED,Academic catalogs,rbgenr,1.0,
Academic dissertations New York 18th century. rbgenr,PROPOSED,Academic dissertations,New York 18th century rbgenr,0.98,
Academic dissertations. rbgenr,PROPOSED,Academic dissertations,rbgenr,1.0,
Academic dissertations. rbmscv,PROPOSED,Academic dissertations,rbmscv,1.0,
Accordion fold format (Binding) . rbgenr,PROPOSED,Accordion fold format,(Binding) rbgenr,0.98,
Accordion fold format (Binding) 2007. rbbin,PROPOSED,Accordion fold format,(Binding) 2007 rbbin,0.98,
Accordion fold format (Binding) 2009. rbbin,PROPOSED,Accordion fold format,(Binding) 2009 rbbin,0.98,
Accordion fold format (Binding) 2010. rbbin,PROPOSED,Accordion fold format,(Binding) 2010 rbbin,0.98,
Accordion fold format (Binding) 2011. rbbin,PROPOSED,Accordion fold format,(Binding) 2011 rbbin,0.98,
Accordion fold format (Binding) California 21st century. rbbin,PROPOSED,Accordion fold format,(Binding) California 21st century rbbin,0.98,
Accordion fold format (Binding) California Richmond 2013. rbgenr,PROPOSED,Accordion fold format,(Binding) California Richmond 2013 rbgenr,0.98,
Accordion fold format (Binding) Iowa Iowa City 2013. rbbin,PROPOSED,Accordion fold format,(Binding) Iowa Iowa City 2013 rbbin,0.98,
Accordion fold format (Binding) rbbin,PROPOSED,Accordion fold format,(Binding) rbbin,0.98,
Accordion fold format (Binding) rbmscv,PROPOSED,Accordion fold format,(Binding) rbmscv,0.98,
Accordion fold format rbmscv,PROPOSED,Accordion fold format,rbmscv,1.0,
Accordion fold format. rbbin,PROPOSED,Accordion fold format,rbbin,1.0,
Accordion fold format. rbgenr,PROPOSED,Accordion fold format,rbgenr,1.0,
Accordion fold format. rbmscv,PROPOSED,Accordion fold format,rbmscv,1.0,
Accordion-fold format (Binding) rbbin,REVIEW,,rbbin,0.0,
Acrostics. rbgenr,PROPOSED,Acrostics,rbgenr,1.0,
Acrostics. rbmscv,PROPOSED,Acrostics,rbmscv,1.0,
Acting editions England London 18th century. rbgenr,PROPOSED,Acting editions,England London 18th century rbgenr,0.98,
Acting editions England London 20th century. rbgenr,PROPOSED,Acting editions,England London 20th century rbgenr,0.98,
Acting editions Massachusetts Boston 19th century. rbgenr,PROPOSED,Acting editions,Massachusetts Boston 19th century rbgenr,0.98,
Acting editions New York (State) New York 1976. rbgenr,PROPOSED,Acting editions,New York (State) New York 1976 rbgenr,0.98,
Acting editions New York (State) New York 19th century rbgenr,PROPOSED,Acting editions,New York (State) New York 19th century rbgenr,0.98,
Acting editions New York (State) New York 19th century. rbgenr,PROPOSED,Acting editions,New York (State) New York 19th century rbgenr,0.98,
Acting editions. rbgenr,PROPOSED,Acting editions,rbgenr,1.0,
Addresses 1860. rbgenr,PROPOSED,Addresses,1860 rbgenr,0.98,
Addresses 1887. rbgenr,PROPOSED,Addresses,1887 rbgenr,0.98,
Addresses 21st century. rbgenr,PROPOSED,Addresses,21st century rbgenr,0.98,
Addresses United States 1851. rbgenr,PROPOSED,Addresses,United States 1851 rbgenr,0.98,
Addresses Vietnam (Democratic Republic) 20th century. rbgenr,PROPOSED,Addresses,Vietnam (Democratic Republic) 20th century rbgenr,0.98,
Addresses. rbgenr,PROPOSED,Addresses,rbgenr,1.0,
Addresses. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00038,PROPOSED,Addresses,rbmscv,1.0,
Adhesive bindings (Binding) rbmscv,PROPOSED,Adhesive bindings,(Binding) rbmscv,0.98,
Adhesive bindings. rbmscv,PROPOSED,Adhesive bindings,rbmscv,1.0,
Administrative regulations. rbgenr,PROPOSED,Administrative regulations,rbgenr,1.0,
Advance copies (Printing) 20th century. rbpri,PROPOSED,Advance copies,(Printing) 20th century rbpri,0.98,
Advance copies (Printing) 21st century. rbpri CU-BANC,PROPOSED,Advance copies,(Printing) 21st century rbpri CU-BANC,0.98,
Advance copies (Printing) rbpri,PROPOSED,Advance copies,(Printing) rbpri,0.98,
Advance copies (Printing) rbpri CtY-BR,PROPOSED,Advance copies,(Printing) rbpri CtY-BR,0.98,
Advance copies (Publishing) rbpub,PROPOSED,Advance copies,(Publishing) rbpub,0.98,
Advance copies (Publishing) rbpub CU-BANC,PROPOSED,Advance copies,(Publishing) rbpub CU-BANC,0.98,
Advance copies. rbpri,PROPOSED,Advance copies,rbpri,1.0,
Advance copy (Printing) rbpri,REVIEW,,rbpri,0.0,
Advertisement United States New York 19th century. rbgenr,REVIEW,,rbgenr,0.0,
Advertisements - Germany - Munich - 20th century. rbgenr,PROPOSED,Advertisements,- Germany - Munich - 20th century rbgenr,0.98,
Advertisements 20th century. rbgenr,PROPOSED,Advertisements,20th century rbgenr,0.98,
Advertisements 20th century. rbmscv,PROPOSED,Advertisements,20th century rbmscv,0.98,
Advertisements Artists' materials. rbgenr,PROPOSED,Advertisements,Artists' materials rbgenr,0.98,
Advertisements Auctions. rbgenr,PROPOSED,Advertisements,Auctions rbgenr,0.98,
Advertisements Auctions. rbmscv,PROPOSED,Advertisements,Auctions rbmscv,0.98,
Advertisements Bandages and bandaging. rbgenr,PROPOSED,Advertisements,Bandages and bandaging rbgenr,0.98,
Advertisements Bandages and bandaging. rbmscv,PROPOSED,Advertisements,Bandages and bandaging rbmscv,0.98,
Advertisements Barbers. rbgenr,PROPOSED,Advertisements,Barbers rbgenr,0.98,
Advertisements Bookbinding. rbgenr,PROPOSED,Advertisements,Bookbinding rbgenr,0.98,
Advertisements Books New York 1974. rbgenr,PROPOSED,Advertisements,Books New York 1974 rbgenr,0.98,
Advertisements Boston 19th century. rbgenr,PROPOSED,Advertisements,Boston 19th century rbgenr,0.98,
Advertisements Brass founding. rbgenr,PROPOSED,Advertisements,Brass founding rbgenr,0.98,
Advertisements Copperwork. rbgenr,PROPOSED,Advertisements,Copperwork rbgenr,0.98,
Advertisements Curiosities and wonders. rbgenr,PROPOSED,Advertisements,Curiosities and wonders rbgenr,0.98,
Advertisements Dentistry. rbgenr,PROPOSED,Advertisements,Dentistry rbgenr,0.98,
Advertisements Drugs. rbgenr,PROPOSED,Advertisements,Drugs rbgenr,0.98,
