original,status,updated_term,extraneous_text,confidence,error
Academic dissertations. rbgenr,PROPOSED,Academic dissertations,. rbgenr,0.0,
Abaca fibers (Paper) rbpap,PROPOSED,Abaca fiber papers,rbpap,0.95,
Academic dissertations New York 18th century. rbgenr,PROPOSED,Academic dissertations,New York 18th century. rbgenr,0.95,
Academic catalogues. rbgenr,PROPOSED,Academic catalogs,rbgenr,0.95,
Academic dissertations. rbmscv,PROPOSED,Academic dissertations,. rbmscv,0.0,
Accordion fold format (Binding) . rbgenr,PROPOSED,Accordion fold format,(Binding) . rbgenr,0.95,
Accordion fold format (Binding) 2007. rbbin,PROPOSED,Accordion fold format,(Binding) 2007. rbbin,0.8,
Accordion fold format (Binding) 2009. rbbin,PROPOSED,Accordion fold format,(Binding) 2009. rbbin,0.8,
Accordion fold format (Binding) 2010. rbbin,PROPOSED,Accordion fold format,(Binding) 2010. rbbin,0.85,
Accordion fold format (Binding) 2011. rbbin,PROPOSED,Accordion fold format,(Binding) 2011. rbbin,0.95,
Accordion fold format (Binding) California 21st century. rbbin,PROPOSED,Accordion fold format,(Binding) California 21st century. rbbin,0.95,
Accordion fold format (Binding) California Richmond 2013. rbgenr,PROPOSED,Accordion fold format,(Binding) California Richmond 2013. rbgenr,0.95,
Accordion fold format (Binding) Iowa Iowa City 2013. rbbin,ERROR,,,0.0,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)"
Accordion fold format (Binding) rbbin,PROPOSED,Accordion fold format,(Binding) rbbin,0.95,
Accordion fold format (Binding) rbmscv,PROPOSED,Accordion fold format,(Binding) rbmscv,0.95,
Accordion fold format rbmscv,PROPOSED,Accordion fold format,rbmscv aat lcgft,0.95,
Accordion fold format. rbbin,PROPOSED,Accordion fold format,rbbin,0.95,
Accordion fold format. rbgenr,PROPOSED,Accordion fold format,. rbgenr,0.95,
Accordion fold format. rbmscv,PROPOSED,Accordion fold format,. rbmscv,0.95,
Accordion-fold format (Binding) rbbin,PROPOSED,Accordion fold format,(Binding) rbbin,0.95,
Acrostics. rbgenr,PROPOSED,Acrostics,. rbgenr,0.0,
Acrostics. rbmscv,PROPOSED,Acrostics,. rbmscv,0.0,
Acting editions England London 18th century. rbgenr,PROPOSED,Acting editions,England London 18th century. rbgenr,0.95,
Acting editions England London 20th century. rbgenr,PROPOSED,Acting editions,England London 20th century. rbgenr,1.0,
Acting editions Massachusetts Boston 19th century. rbgenr,PROPOSED,Acting editions,Massachusetts Boston 19th century. rbgenr,0.8,
Acting editions New York (State) New York 1976. rbgenr,PROPOSED,Acting editions,New York (State) New York 1976. rbgenr,0.8,
Acting editions New York (State) New York 19th century rbgenr,PROPOSED,Acting editions,New York (State) New York 19th century rbgenr,0.8,
Acting editions New York (State) New York 19th century. rbgenr,PROPOSED,Acting editions,New York (State) New York 19th century. rbgenr,0.8,
Acting editions. rbgenr,PROPOSED,Acting editions,rbgenr,0.8,
Addresses 1860. rbgenr,PROPOSED,Addresses,"rbgenr, 1860",0.95,
Addresses 1887. rbgenr,PROPOSED,Addresses,1887. Funeral addresses Academic addresses Fast-day addresses Carriers' addresses Convicts' addresses New Year addresses (Ephemera) Occasional addresses Commencement addresses Subscribers' addresses Baccalaureate addresses Congressional addresses Fourth of July addresses Thanksgiving day addresses,0.95,
Addresses 21st century. rbgenr,PROPOSED,Addresses,21st century. rbgenr,0.95,
Addresses United States 1851. rbgenr,PROPOSED,Addresses,United States 1851. rbgenr,0.9,
Addresses Vietnam (Democratic Republic) 20th century. rbgenr,PROPOSED,Half century sermons,New Year addresses (Ephemera) 20th century. rbgenr,0.0,
Addresses. rbgenr,PROPOSED,Addresses,. rbgenr,1.0,
Addresses. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00038,DELETED,,http://id.loc.gov/vocabulary/rbmscv/cv00038 aat lcgft rbpap,0.0,
Adhesive bindings (Binding) rbmscv,PROPOSED,Adhesive bindings,(Binding) rbmscv,0.95,
Adhesive bindings. rbmscv,PROPOSED,Adhesive bindings,. rbmscv,0.95,
Administrative regulations. rbgenr,PROPOSED,Administrative regulations,rbgenr,0.95,
Advance copies (Printing) 20th century. rbpri,PROPOSED,Advance copies,20th century. rbpri,0.8,
Advance copies (Printing) 21st century. rbpri CU-BANC,PROPOSED,Advance copies,(Printing) 21st century. rbpri CU-BANC,0.8,
Advance copies (Printing) rbpri,PROPOSED,Advance copies,(Printing) rbpri,0.95,
Advance copies (Printing) rbpri CtY-BR,PROPOSED,Advance copies,(Printing) rbpri CtY-BR,0.85,
Advance copies (Publishing) rbpub,PROPOSED,Advance copies,(Publishing) rbpub,0.95,
Advance copies (Publishing) rbpub CU-BANC,PROPOSED,Advance copies,(Publishing) rbpub CU-BANC,0.95,
Advance copies. rbpri,PROPOSED,Advance copies,. rbpri,0.95,
Advance copy (Printing) rbpri,PROPOSED,Advance copies,rbpri,0.95,
Advertisement United States New York 19th century. rbgenr,PROPOSED,Advertisements,United States New York 19th century. rbgenr,0.8,
Advertisements - Germany - Munich - 20th century. rbgenr,PROPOSED,Advertisements,Germany - Munich - 20th century. rbgenr,1.0,
Advertisements 20th century. rbgenr,PROPOSED,Advertisements,20th century. rbgenr,0.95,
Advertisements 20th century. rbmscv,PROPOSED,Advertisements,20th century. rbmscv,0.95,
Advertisements Artists' materials. rbgenr,PROPOSED,Advertisements,Artists' materials.,0.95,
Advertisements Auctions. rbgenr,CHANGED,,Auctions. rbgenr,0.0,
Advertisements Auctions. rbmscv,CHANGED,,rbmscv,0.0,
Advertisements Bandages and bandaging. rbgenr,PROPOSED,Advertisements,Bandages and bandaging. rbgenr,0.95,
Advertisements Bandages and bandaging. rbmscv,PROPOSED,Advertisements,Bandages and bandaging.,0.95,
Advertisements Barbers. rbgenr,REVIEW,,Barbers. rbgenr,0.0,
Advertisements Bookbinding. rbgenr,PROPOSED,Advertisements,Bookbinding. rbgenr,0.95,
Advertisements Books New York 1974. rbgenr,PROPOSED,Advertisements,Books New York 1974. rbgenr,0.8,
Advertisements Boston 19th century. rbgenr,PROPOSED,Advertisements,Boston 19th century. rbgenr,0.8,
Advertisements Brass founding. rbgenr,PROPOSED,Advertisements,Brass founding.,0.95,
Advertisements Copperwork. rbgenr,DELETED,,Copperwork. rbgenr,0.0,
Advertisements Curiosities and wonders. rbgenr,REVIEW,,Curiosities and wonders. rbgenr,0.0,
Advertisements Dentistry. rbgenr,DELETED,,Dentistry. rbgenr,0.0,
Advertisements Drugs. rbgenr,PROPOSED,Advertisements,Drugs.,0.95,
