original	status	updated_term	extraneous_text	confidence	error
Accordion fold format (Binding) 2007. rbbin	PROPOSED	Accordion fold format	(Binding) 2007. rbbin	1.0	
Accordion fold format (Binding) 2009. rbbin	PROPOSED	Accordion fold format	(Binding) 2009. rbbin	1.0	
Accordion fold format (Binding) 2010. rbbin	PROPOSED	Accordion fold format	(Binding) 2010. rbbin	1.0	
Accordion fold format (Binding) California 21st century. rbbin	PROPOSED	Accordion fold format	(Binding) California 21st century. rbbin	1.0	
Accordion fold format (Binding) Iowa Iowa City 2013. rbbin	PROPOSED	Accordion fold format	(Binding) Iowa Iowa City 2013. rbbin	1.0	
Accordion fold format (binding) rbbin	PROPOSED	Accordion fold format	(binding) rbbin	1.0	
Accordion-fold format (Binding) rbbin	PROPOSED	Accordion fold format	(Binding) rbbin	1.0	
Acting editions England London 18th century. rbgenr	PROPOSED	Acting editions	England London 18th century. rbgenr	1.0	
Acting editions New York (State) New York 19th century rbgenr	PROPOSED	Acting editions	New York (State) New York 19th century rbgenr	1.0	
Addresses 1860. rbgenr	PROPOSED	Addresses	1860. rbgenr	1.0	
Administrative regulations. rbgenr	PROPOSED	Administrative regulations	rbgenr	1.0	
Advance copies (Printing) 21st century. rbpri CU-BANC	PROPOSED	Advance copies	(Printing) 21st century. rbpri CU-BANC	1.0	
Advertisements - Germany - Munich - 20th century. rbgenr	PROPOSED	Advertisements	Germany - Munich - 20th century. rbgenr	1.0	
Advertisements 20th century. rbgenr	PROPOSED	Advertisements	20th century. rbgenr	1.0	
Advertisements Bandages and bandaging. rbgenr	PROPOSED	Advertisements	Bandages and bandaging. rbgenr	1.0	
Advertisements Dentistry. rbgenr	PROPOSED	Advertisements	Dentistry. rbgenr	1.0	
Advertisements England Cambridge 20th century. rbgenr	PROPOSED	Advertisements	England Cambridge 20th century. rbgenr	1.0	
Advertisements England Leeds 19th century. rbgenr	PROPOSED	Advertisements	England Leeds 19th century. rbgenr	1.0	
Advertisements England London 19th century. rbgenr PU	PROPOSED	Advertisements	England London 19th century. rbgenr PU	1.0	
Advertisements Germany Hamburg 20th century. rbgenr	PROPOSED	Advertisements	Germany Hamburg 20th century. rbgenr	1.0	
Advertisements Germany Munich 20th century. rbgenr	PROPOSED	Advertisements	Germany Munich 20th century. rbgenr	1.0	
Advertisements Illinois Chicago 19th century. rbgenr	PROPOSED	Advertisements	Illinois Chicago 19th century. rbgenr	1.0	
Advertisements Ink. rbgenr	PROPOSED	Advertisements	Ink. rbgenr	1.0	
Advertisements Massachusetts Boston 20th century. rbgenr	PROPOSED	Advertisements	Massachusetts Boston 20th century. rbgenr	1.0	
Advertisements New York (State) New York 1993. rbgenr	PROPOSED	Advertisements	New York (State) New York 1993. rbgenr	1.0	
Advertisements New York (State) New York 1997. rbgenr	PROPOSED	Advertisements	New York (State) New York 1997. rbgenr	1.0	
Advertisements New York (State) New York 19th century. rbgenr	PROPOSED	Advertisements	New York (State) New York 19th century. rbgenr	1.0	
Advertisements New York (State) New York 20th century. rbgenr	PROPOSED	Advertisements	New York (State) New York 20th century. rbgenr	1.0	
Advertisements New York 20th century. rbgenr	PROPOSED	Advertisements	New York 20th century. rbgenr	1.0	
Advertisements New York Oneida 19th century. rbgenr	PROPOSED	Advertisements	New York Oneida 19th century. rbgenr	1.0	
Advertisements Ohio Cincinnati 19th century. rbgenr	PROPOSED	Advertisements	Ohio Cincinnati 19th century. rbgenr	1.0	
Advertisements Scotland Glasgow 20th century. rbgenr	PROPOSED	Advertisements	Scotland Glasgow 20th century. rbgenr	1.0	
Advertisements Seeds. rbgenr	PROPOSED	Advertisements	Seeds. rbgenr	1.0	
Advertisements Spain Madrid 20th century. rbgenr	PROPOSED	Advertisements	Spain Madrid 20th century. rbgenr	1.0	
Advertisements Switzerland ZuÌˆrich 20th century. rbgenr	PROPOSED	Advertisements	Switzerland ZuÌˆrich 20th century. rbgenr	1.0	
Advertisements United States Boston 20th century. rbgenr	PROPOSED	Advertisements	United States Boston 20th century. rbgenr	1.0	
Advertisemnts United States New York 20th century. rbgenr	REVIEW			0.0	misspelling/unmatched start term
Almanacs Connecticut 1756. rbgenr	PROPOSED	Almanacs	Connecticut 1756. rbgenr	1.0	
Almanacs Connecticut 1757. rbgenr	PROPOSED	Almanacs	Connecticut 1757. rbgenr	1.0	
Almanacs Connecticut 1758. rbgenr	PROPOSED	Almanacs	Connecticut 1758. rbgenr	1.0	
Almanacs Connecticut 1768. rbgenr	PROPOSED	Almanacs	Connecticut 1768. rbgenr	1.0	
Almanacs Connecticut 1769. rbgenr	PROPOSED	Almanacs	Connecticut 1769. rbgenr	1.0	
Almanacs Connecticut 1770. rbgenr	PROPOSED	Almanacs	Connecticut 1770. rbgenr	1.0	
Almanacs Connecticut 1771. rbgenr	PROPOSED	Almanacs	Connecticut 1771. rbgenr	1.0	
Almanacs Connecticut 1772. rbgenr	PROPOSED	Almanacs	Connecticut 1772. rbgenr	1.0	
Almanacs Connecticut 1773. rbgenr	PROPOSED	Almanacs	Connecticut 1773. rbgenr	1.0	
Almanacs Connecticut 1774. rbgenr	PROPOSED	Almanacs	Connecticut 1774. rbgenr	1.0	
Almanacs Connecticut 1782. rbgenr	PROPOSED	Almanacs	Connecticut 1782. rbgenr	1.0	
Almanacs Connecticut 1783. rbgenr	PROPOSED	Almanacs	Connecticut 1783. rbgenr	1.0	
Almanacs Connecticut 1788. rbgenr	PROPOSED	Almanacs	Connecticut 1788. rbgenr	1.0	
Almanacs Connecticut 1789. rbgenr	PROPOSED	Almanacs	Connecticut 1789. rbgenr	1.0	
Almanacs Connecticut 1790. rbgenr	PROPOSED	Almanacs	Connecticut 1790. rbgenr	1.0	
Almanacs Connecticut 1791. rbgenr	PROPOSED	Almanacs	Connecticut 1791. rbgenr	1.0	
Almanacs Connecticut 1799. rbgenr	PROPOSED	Almanacs	Connecticut 1799. rbgenr	1.0	
Almanacs Connecticut 1800. rbgenr	PROPOSED	Almanacs	Connecticut 1800. rbgenr	1.0	
Almanacs District of Columbia 1798. rbgenr	PROPOSED	Almanacs	District of Columbia 1798. rbgenr	1.0	
Almanacs Maryland 1797. rbgenr	PROPOSED	Almanacs	Maryland 1797. rbgenr	1.0	
Almanacs Massachusetts 1685. rbgenr	PROPOSED	Almanacs	Massachusetts 1685. rbgenr	1.0	
Almanacs Massachusetts 1690. rbgenr	PROPOSED	Almanacs	Massachusetts 1690. rbgenr	1.0	
Almanacs Massachusetts 1691. rbgenr	PROPOSED	Almanacs	Massachusetts 1691. rbgenr	1.0	
Almanacs Massachusetts 1692. rbgenr	PROPOSED	Almanacs	Massachusetts 1692. rbgenr	1.0	
Almanacs Massachusetts 1693. rbgenr	PROPOSED	Almanacs	Massachusetts 1693. rbgenr	1.0	
Almanacs Massachusetts 1696. rbgenr	PROPOSED	Almanacs	Massachusetts 1696. rbgenr	1.0	
Almanacs Massachusetts 1697. rbgenr	PROPOSED	Almanacs	Massachusetts 1697. rbgenr	1.0	
Almanacs Massachusetts 1698. rbgenr	PROPOSED	Almanacs	Massachusetts 1698. rbgenr	1.0	
Almanacs Massachusetts 1699. rbgenr	PROPOSED	Almanacs	Massachusetts 1699. rbgenr	1.0	
Almanacs Massachusetts 1702. rbgenr	PROPOSED	Almanacs	Massachusetts 1702. rbgenr	1.0	
Almanacs Massachusetts 1706. rbgenr	PROPOSED	Almanacs	Massachusetts 1706. rbgenr	1.0	
Almanacs Massachusetts 1707. rbgenr	PROPOSED	Almanacs	Massachusetts 1707. rbgenr	1.0	
Almanacs Massachusetts 1709. rbgenr	PROPOSED	Almanacs	Massachusetts 1709. rbgenr	1.0	
Almanacs Massachusetts 1710. rbgenr	PROPOSED	Almanacs	Massachusetts 1710. rbgenr	1.0	
Almanacs Massachusetts 1711. rbgenr	PROPOSED	Almanacs	Massachusetts 1711. rbgenr	1.0	
Almanacs Massachusetts 1712. rbgenr	PROPOSED	Almanacs	Massachusetts 1712. rbgenr	1.0	
Almanacs Massachusetts 1713. rbgenr	PROPOSED	Almanacs	Massachusetts 1713. rbgenr	1.0	
Almanacs Massachusetts 1715. rbgenr	PROPOSED	Almanacs	Massachusetts 1715. rbgenr	1.0	
Almanacs Massachusetts 1716. rbgenr	PROPOSED	Almanacs	Massachusetts 1716. rbgenr	1.0	
Almanacs Massachusetts 1717. rbgenr	PROPOSED	Almanacs	Massachusetts 1717. rbgenr	1.0	
Almanacs Massachusetts 1718. rbgenr	PROPOSED	Almanacs	Massachusetts 1718. rbgenr	1.0	
Almanacs Massachusetts 1719. rbgenr	PROPOSED	Almanacs	Massachusetts 1719. rbgenr	1.0	
Almanacs Massachusetts 1720. rbgenr	PROPOSED	Almanacs	Massachusetts 1720. rbgenr	1.0	
Almanacs Massachusetts 1721. rbgenr	PROPOSED	Almanacs	Massachusetts 1721. rbgenr	1.0	
Almanacs Massachusetts 1722. rbgenr	PROPOSED	Almanacs	Massachusetts 1722. rbgenr	1.0	
Almanacs Massachusetts 1723. rbgenr	PROPOSED	Almanacs	Massachusetts 1723. rbgenr	1.0	
Almanacs Massachusetts 1751. rbgenr	PROPOSED	Almanacs	Massachusetts 1751. rbgenr	1.0	
Almanacs Massachusetts 1755. rbgenr	PROPOSED	Almanacs	Massachusetts 1755. rbgenr	1.0	
Almanacs Massachusetts 1760. rbgenr	PROPOSED	Almanacs	Massachusetts 1760. rbgenr	1.0	
Almanacs Massachusetts 1761. rbgenr	PROPOSED	Almanacs	Massachusetts 1761. rbgenr	1.0	
Almanacs Massachusetts 1762. rbgenr	PROPOSED	Almanacs	Massachusetts 1762. rbgenr	1.0	
Almanacs Massachusetts 1764. rbgenr	PROPOSED	Almanacs	Massachusetts 1764. rbgenr	1.0	
Almanacs Massachusetts 1765. rbgenr	PROPOSED	Almanacs	Massachusetts 1765. rbgenr	1.0	
Almanacs Massachusetts 1766. rbgenr	PROPOSED	Almanacs	Massachusetts 1766. rbgenr	1.0	
Almanacs Massachusetts 1767. rbgenr	PROPOSED	Almanacs	Massachusetts 1767. rbgenr	1.0	
Almanacs Massachusetts 1769. rbgenr	PROPOSED	Almanacs	Massachusetts 1769. rbgenr	1.0	
Almanacs Massachusetts 1771. rbgenr	PROPOSED	Almanacs	Massachusetts 1771. rbgenr	1.0	
Almanacs Massachusetts 1772. rbgenr	PROPOSED	Almanacs	Massachusetts 1772. rbgenr	1.0	
Almanacs Massachusetts 1774. rbgenr	PROPOSED	Almanacs	Massachusetts 1774. rbgenr	1.0	
Almanacs Massachusetts 1775. rbgenr	PROPOSED	Almanacs	Massachusetts 1775. rbgenr	1.0	
Almanacs Massachusetts 1776. rbgenr	PROPOSED	Almanacs	Massachusetts 1776. rbgenr	1.0	
Almanacs Massachusetts 1779. rbgenr	PROPOSED	Almanacs	Massachusetts 1779. rbgenr	1.0	
Almanacs Massachusetts 1780. rbgenr	PROPOSED	Almanacs	Massachusetts 1780. rbgenr	1.0	
Almanacs Massachusetts 1782. rbgenr	PROPOSED	Almanacs	Massachusetts 1782. rbgenr	1.0	
Almanacs Massachusetts 1783. rbgenr	PROPOSED	Almanacs	Massachusetts 1783. rbgenr	1.0	
Almanacs Massachusetts 1784. rbgenr	PROPOSED	Almanacs	Massachusetts 1784. rbgenr	1.0	
Almanacs Massachusetts 1785. rbgenr	PROPOSED	Almanacs	Massachusetts 1785. rbgenr	1.0	
Almanacs Massachusetts 1786. rbgenr	PROPOSED	Almanacs	Massachusetts 1786. rbgenr	1.0	
Almanacs Massachusetts 1787. rbgenr	PROPOSED	Almanacs	Massachusetts 1787. rbgenr	1.0	
Almanacs Massachusetts 1788. rbgenr	PROPOSED	Almanacs	Massachusetts 1788. rbgenr	1.0	
Almanacs Massachusetts 1789. rbgenr	PROPOSED	Almanacs	Massachusetts 1789. rbgenr	1.0	
Almanacs Massachusetts 1790. rbgenr	PROPOSED	Almanacs	Massachusetts 1790. rbgenr	1.0	
Almanacs Massachusetts 1792. rbgenr	PROPOSED	Almanacs	Massachusetts 1792. rbgenr	1.0	
Almanacs Massachusetts 1793. rbgenr	PROPOSED	Almanacs	Massachusetts 1793. rbgenr	1.0	
Almanacs Massachusetts 1794. rbgenr	PROPOSED	Almanacs	Massachusetts 1794. rbgenr	1.0	
Almanacs Massachusetts 1795. rbgenr	PROPOSED	Almanacs	Massachusetts 1795. rbgenr	1.0	
Almanacs Massachusetts 1797. rbgenr	PROPOSED	Almanacs	Massachusetts 1797. rbgenr	1.0	
Almanacs Massachusetts 1799. rbgenr	PROPOSED	Almanacs	Massachusetts 1799. rbgenr	1.0	
Almanacs New Hampshire 1759. rbgenr	PROPOSED	Almanacs	New Hampshire 1759. rbgenr	1.0	
Almanacs New Hampshire 1771. rbgenr	PROPOSED	Almanacs	New Hampshire 1771. rbgenr	1.0	
Almanacs New Hampshire 1796. rbgenr	PROPOSED	Almanacs	New Hampshire 1796. rbgenr	1.0	
Almanacs New Jersey 1787. rbgenr	PROPOSED	Almanacs	New Jersey 1787. rbgenr	1.0	
Almanacs New Jersey 1789. rbgenr	PROPOSED	Almanacs	New Jersey 1789. rbgenr	1.0	
Almanacs New Jersey 1798. rbgenr	PROPOSED	Almanacs	New Jersey 1798. rbgenr	1.0	
Almanacs New Jersey 1799. rbgenr	PROPOSED	Almanacs	New Jersey 1799. rbgenr	1.0	
Almanacs New Jersey 1800. rbgenr	PROPOSED	Almanacs	New Jersey 1800. rbgenr	1.0	
Almanacs New York (State) 1694. rbgenr	PROPOSED	Almanacs	New York (State) 1694. rbgenr	1.0	
Almanacs New York (State) 1695. rbgenr	PROPOSED	Almanacs	New York (State) 1695. rbgenr	1.0	
Almanacs New York (State) 1696. rbgenr	PROPOSED	Almanacs	New York (State) 1696. rbgenr	1.0	
Almanacs New York (State) 1698. rbgenr	PROPOSED	Almanacs	New York (State) 1698. rbgenr	1.0	
Almanacs New York (State) 1699. rbgenr	PROPOSED	Almanacs	New York (State) 1699. rbgenr	1.0	
Almanacs New York (State) 1700. rbgenr	PROPOSED	Almanacs	New York (State) 1700. rbgenr	1.0	
Almanacs New York (State) 1718. rbgenr	PROPOSED	Almanacs	New York (State) 1718. rbgenr	1.0	
Almanacs New York (State) 1719. rbgenr	PROPOSED	Almanacs	New York (State) 1719. rbgenr	1.0	
Almanacs New York (State) 1720. rbgenr	PROPOSED	Almanacs	New York (State) 1720. rbgenr	1.0	
Almanacs New York (State) 1724. rbgenr	PROPOSED	Almanacs	New York (State) 1724. rbgenr	1.0	
Almanacs New York (State) 1727. rbgenr	PROPOSED	Almanacs	New York (State) 1727. rbgenr	1.0	
Almanacs New York (State) 1730. rbgenr	PROPOSED	Almanacs	New York (State) 1730. rbgenr	1.0	
Almanacs New York (State) 1766. rbgenr	PROPOSED	Almanacs	New York (State) 1766. rbgenr	1.0	
Almanacs New York (State) 1774. rbgenr	PROPOSED	Almanacs	New York (State) 1774. rbgenr	1.0	
Almanacs New York (State) 1789. rbgenr	PROPOSED	Almanacs	New York (State) 1789. rbgenr	1.0	
Almanacs New York (State) 1793. rbgenr	PROPOSED	Almanacs	New York (State) 1793. rbgenr	1.0	
Almanacs New York (State) 1795. rbgenr	PROPOSED	Almanacs	New York (State) 1795. rbgenr	1.0	
Almanacs New York (State) 1796. rbgenr	PROPOSED	Almanacs	New York (State) 1796. rbgenr	1.0	
Almanacs New York (State) 1797. rbgenr	PROPOSED	Almanacs	New York (State) 1797. rbgenr	1.0	
Almanacs New York (State) 1798. rbgenr	PROPOSED	Almanacs	New York (State) 1798. rbgenr	1.0	
Almanacs New York (State) 1800. rbgenr	PROPOSED	Almanacs	New York (State) 1800. rbgenr	1.0	
Almanacs New York (State) 1801. rbgenr	PROPOSED	Almanacs	New York (State) 1801. rbgenr	1.0	
Almanacs North Carolina 1795. rbgenr	PROPOSED	Almanacs	North Carolina 1795. rbgenr	1.0	
Almanacs Pennsylvania 1700. rbgenr	PROPOSED	Almanacs	Pennsylvania 1700. rbgenr	1.0	
Almanacs Pennsylvania 1717. rbgenr	PROPOSED	Almanacs	Pennsylvania 1717. rbgenr	1.0	
Almanacs Pennsylvania 1721. rbgenr	PROPOSED	Almanacs	Pennsylvania 1721. rbgenr	1.0	
Almanacs Pennsylvania 1744. rbgenr	PROPOSED	Almanacs	Pennsylvania 1744. rbgenr	1.0	
Almanacs Pennsylvania 1753. rbgenr	PROPOSED	Almanacs	Pennsylvania 1753. rbgenr	1.0	
Almanacs Pennsylvania 1755. rbgenr	PROPOSED	Almanacs	Pennsylvania 1755. rbgenr	1.0	
Almanacs Pennsylvania 1774. rbgenr	PROPOSED	Almanacs	Pennsylvania 1774. rbgenr	1.0	
Almanacs Pennsylvania 1782. rbgenr	PROPOSED	Almanacs	Pennsylvania 1782. rbgenr	1.0	
Almanacs Pennsylvania 1783. rbgenr	PROPOSED	Almanacs	Pennsylvania 1783. rbgenr	1.0	
Almanacs Pennsylvania 1794. rbgenr	PROPOSED	Almanacs	Pennsylvania 1794. rbgenr	1.0	
Almanacs Pennsylvania 1796. rbgenr	PROPOSED	Almanacs	Pennsylvania 1796. rbgenr	1.0	
